,time,action,protocol,src-ip,dst-ip,src-port,dst-port,size,tcpflags,tcpsyn,tcpack,tcpwin,icmptype,icmpcode,path
0,21:45:24,ALLOW,ICMP,192.168.91.128,192.168.91.1,,,0,,,,,8,0,RECEIVE
1,21:45:25,ALLOW,ICMP,192.168.91.128,192.168.91.1,,,0,,,,,8,0,RECEIVE
2,21:45:26,ALLOW,ICMP,192.168.91.128,192.168.91.1,,,0,,,,,8,0,RECEIVE
3,21:45:27,ALLOW,ICMP,192.168.91.128,192.168.91.1,,,0,,,,,8,0,RECEIVE
4,21:45:28,ALLOW,ICMP,192.168.91.128,192.168.91.1,,,0,,,,,8,0,RECEIVE
5,21:45:29,ALLOW,ICMP,192.168.91.128,192.168.91.1,,,0,,,,,8,0,RECEIVE
6,21:45:30,ALLOW,ICMP,192.168.91.128,192.168.91.1,,,0,,,,,8,0,RECEIVE
7,21:45:31,ALLOW,ICMP,192.168.91.128,192.168.91.1,,,0,,,,,8,0,RECEIVE
8,21:45:32,ALLOW,ICMP,192.168.91.128,192.168.91.1,,,0,,,,,8,0,RECEIVE
9,21:45:33,ALLOW,ICMP,192.168.91.128,192.168.91.1,,,0,,,,,8,0,RECEIVE
10,21:45:34,ALLOW,ICMP,192.168.91.128,192.168.91.1,,,0,,,,,8,0,RECEIVE
11,21:45:35,ALLOW,ICMP,192.168.91.128,192.168.91.1,,,0,,,,,8,0,RECEIVE
12,21:45:36,ALLOW,ICMP,192.168.91.128,192.168.91.1,,,0,,,,,8,0,RECEIVE
13,21:45:37,ALLOW,ICMP,192.168.91.128,192.168.91.1,,,0,,,,,8,0,RECEIVE
14,21:45:38,ALLOW,ICMP,192.168.91.128,192.168.91.1,,,0,,,,,8,0,RECEIVE
15,21:45:39,ALLOW,ICMP,192.168.91.128,192.168.91.1,,,0,,,,,8,0,RECEIVE
16,21:45:41,ALLOW,ICMP,192.168.91.128,192.168.91.1,,,0,,,,,8,0,RECEIVE
17,21:45:42,ALLOW,ICMP,192.168.91.128,192.168.91.1,,,0,,,,,8,0,RECEIVE
18,21:45:43,ALLOW,ICMP,192.168.91.128,192.168.91.1,,,0,,,,,8,0,RECEIVE
19,21:45:44,ALLOW,ICMP,192.168.91.128,192.168.91.1,,,0,,,,,8,0,RECEIVE
20,21:45:45,ALLOW,ICMP,192.168.91.128,192.168.91.1,,,0,,,,,8,0,RECEIVE
21,21:45:46,ALLOW,ICMP,192.168.91.128,192.168.91.1,,,0,,,,,8,0,RECEIVE
22,21:45:47,ALLOW,ICMP,192.168.91.128,192.168.91.1,,,0,,,,,8,0,RECEIVE
