"@timestamp","_id","_index","_score","agent.ephemeral_id","agent.hostname","agent.id","agent.name","agent.type","agent.version","ecs.version","event.category","event.created","event.dataset","event.ingested","event.kind","event.module","event.original","event.outcome","event.timezone","event.type","fileset.name","host.architecture","host.containerized","host.hostname","host.id","host.ip","host.mac","host.name","host.os.codename","host.os.family","host.os.kernel","host.os.name","host.os.name.text","host.os.platform","host.os.type","host.os.version","http.request.method","http.request.referrer","http.response.body.bytes","http.response.status_code","http.version","input.type","log.file.path","log.level","log.offset",message,"nginx.access.remote_ip_list","process.pid","process.thread.id","related.ip","service.type","source.address","source.ip","traefik.access.user_agent.name","traefik.access.user_agent.original","traefik.access.user_agent.os_name","url.extension","url.original","url.original.text","url.path","user_agent.device.name","user_agent.name","user_agent.original","user_agent.original.text","user_agent.os.full","user_agent.os.full.text","user_agent.os.name","user_agent.os.name.text","user_agent.os.version","user_agent.version"
"Oct 11, 2022 @ 01:51:18.000",nm89xoMB2rJvw05qw8OC,".ds-filebeat-8.3.3-2022.09.27-000001","-","1340802b-d1f7-4587-8649-47207d77ad31",vagrant,"7101e0c5-6c09-421a-8576-16c0dffbd6c2",vagrant,filebeat,"8.3.3","1.12.0",web,"Oct 11, 2022 @ 01:51:19.062","nginx.access","Oct 11, 2022 @ 01:51:20.064",event,nginx,"172.27.48.101 - - [11/Oct/2022:08:51:18 +0000] ""GET /logout HTTP/1.1"" 302 46 ""http://172.27.48.102/home"" ""Mozilla/5.0 (X11; Linux x86_64; rv:91.0) Gecko/20100101 Firefox/91.0"" ""-""",success,"+00:00",access,access,"x86_64",false,vagrant,b8dfaa1058004833be7bbd4cd6b06186,"10.0.2.15, fe80::a00:27ff:fe64:75a1, 192.168.50.2, fe80::a00:27ff:fe03:11ef, 172.18.0.1, fe80::42:9bff:fe2b:6e02, 172.17.0.1, fe80::20eb:aaff:fe1f:3afe, fe80::dce7:92ff:fea4:4245, fe80::5c08:abff:fe9c:b90f, fe80::8456:afff:fe9b:664, fe80::cc00:c1ff:fef0:eff3","02:42:9b:2b:6e:02, 02:42:d5:69:97:97, 08:00:27:03:11:ef, 08:00:27:64:75:a1, 22:eb:aa:1f:3a:fe, 5e:08:ab:9c:b9:0f, 86:56:af:9b:06:64, ce:00:c1:f0:ef:f3, de:e7:92:a4:42:45",vagrant,jammy,debian,"5.15.0-30-generic",Ubuntu,Ubuntu,ubuntu,linux,"22.04 LTS (Jammy Jellyfish)",GET,"http://172.27.48.102/home",46B,302,"1.1",log,"/var/log/nginx/access.log","-","149,175","-","172.27.48.101","-","-","172.27.48.101",nginx,"172.27.48.101","172.27.48.101",Firefox,"Mozilla/5.0 (X11; Linux x86_64; rv:91.0) Gecko/20100101 Firefox/91.0",Linux,"-","/logout","/logout","/logout",Other,Firefox,"Mozilla/5.0 (X11; Linux x86_64; rv:91.0) Gecko/20100101 Firefox/91.0","Mozilla/5.0 (X11; Linux x86_64; rv:91.0) Gecko/20100101 Firefox/91.0","-","-",Linux,Linux,"-","91.0."
"Oct 11, 2022 @ 01:51:18.000",n289xoMB2rJvw05qw8OC,".ds-filebeat-8.3.3-2022.09.27-000001","-","1340802b-d1f7-4587-8649-47207d77ad31",vagrant,"7101e0c5-6c09-421a-8576-16c0dffbd6c2",vagrant,filebeat,"8.3.3","1.12.0",web,"Oct 11, 2022 @ 01:51:19.062","nginx.access","Oct 11, 2022 @ 01:51:20.065",event,nginx,"172.27.48.101 - - [11/Oct/2022:08:51:18 +0000] ""GET / HTTP/1.1"" 304 0 ""http://172.27.48.102/home"" ""Mozilla/5.0 (X11; Linux x86_64; rv:91.0) Gecko/20100101 Firefox/91.0"" ""-""",success,"+00:00",access,access,"x86_64",false,vagrant,b8dfaa1058004833be7bbd4cd6b06186,"10.0.2.15, fe80::a00:27ff:fe64:75a1, 192.168.50.2, fe80::a00:27ff:fe03:11ef, 172.18.0.1, fe80::42:9bff:fe2b:6e02, 172.17.0.1, fe80::20eb:aaff:fe1f:3afe, fe80::dce7:92ff:fea4:4245, fe80::5c08:abff:fe9c:b90f, fe80::8456:afff:fe9b:664, fe80::cc00:c1ff:fef0:eff3","02:42:9b:2b:6e:02, 02:42:d5:69:97:97, 08:00:27:03:11:ef, 08:00:27:64:75:a1, 22:eb:aa:1f:3a:fe, 5e:08:ab:9c:b9:0f, 86:56:af:9b:06:64, ce:00:c1:f0:ef:f3, de:e7:92:a4:42:45",vagrant,jammy,debian,"5.15.0-30-generic",Ubuntu,Ubuntu,ubuntu,linux,"22.04 LTS (Jammy Jellyfish)",GET,"http://172.27.48.102/home",0B,304,"1.1",log,"/var/log/nginx/access.log","-","149,355","-","172.27.48.101","-","-","172.27.48.101",nginx,"172.27.48.101","172.27.48.101",Firefox,"Mozilla/5.0 (X11; Linux x86_64; rv:91.0) Gecko/20100101 Firefox/91.0",Linux,"-","/","/","/",Other,Firefox,"Mozilla/5.0 (X11; Linux x86_64; rv:91.0) Gecko/20100101 Firefox/91.0","Mozilla/5.0 (X11; Linux x86_64; rv:91.0) Gecko/20100101 Firefox/91.0","-","-",Linux,Linux,"-","91.0."
"Oct 11, 2022 @ 01:51:18.000",oG89xoMB2rJvw05qw8OC,".ds-filebeat-8.3.3-2022.09.27-000001","-","1340802b-d1f7-4587-8649-47207d77ad31",vagrant,"7101e0c5-6c09-421a-8576-16c0dffbd6c2",vagrant,filebeat,"8.3.3","1.12.0",web,"Oct 11, 2022 @ 01:51:19.062","nginx.access","Oct 11, 2022 @ 01:51:20.065",event,nginx,"172.27.48.101 - - [11/Oct/2022:08:51:18 +0000] ""GET /stylesheets/style.css HTTP/1.1"" 304 0 ""http://172.27.48.102/"" ""Mozilla/5.0 (X11; Linux x86_64; rv:91.0) Gecko/20100101 Firefox/91.0"" ""-""",success,"+00:00",access,access,"x86_64",false,vagrant,b8dfaa1058004833be7bbd4cd6b06186,"10.0.2.15, fe80::a00:27ff:fe64:75a1, 192.168.50.2, fe80::a00:27ff:fe03:11ef, 172.18.0.1, fe80::42:9bff:fe2b:6e02, 172.17.0.1, fe80::20eb:aaff:fe1f:3afe, fe80::dce7:92ff:fea4:4245, fe80::5c08:abff:fe9c:b90f, fe80::8456:afff:fe9b:664, fe80::cc00:c1ff:fef0:eff3","02:42:9b:2b:6e:02, 02:42:d5:69:97:97, 08:00:27:03:11:ef, 08:00:27:64:75:a1, 22:eb:aa:1f:3a:fe, 5e:08:ab:9c:b9:0f, 86:56:af:9b:06:64, ce:00:c1:f0:ef:f3, de:e7:92:a4:42:45",vagrant,jammy,debian,"5.15.0-30-generic",Ubuntu,Ubuntu,ubuntu,linux,"22.04 LTS (Jammy Jellyfish)",GET,"http://172.27.48.102/",0B,304,"1.1",log,"/var/log/nginx/access.log","-","149,528","-","172.27.48.101","-","-","172.27.48.101",nginx,"172.27.48.101","172.27.48.101",Firefox,"Mozilla/5.0 (X11; Linux x86_64; rv:91.0) Gecko/20100101 Firefox/91.0",Linux,css,"/stylesheets/style.css","/stylesheets/style.css","/stylesheets/style.css",Other,Firefox,"Mozilla/5.0 (X11; Linux x86_64; rv:91.0) Gecko/20100101 Firefox/91.0","Mozilla/5.0 (X11; Linux x86_64; rv:91.0) Gecko/20100101 Firefox/91.0","-","-",Linux,Linux,"-","91.0."
"Oct 11, 2022 @ 01:51:17.000",f289xoMB2rJvw05qu8Ow,".ds-filebeat-8.3.3-2022.09.27-000001","-","1340802b-d1f7-4587-8649-47207d77ad31",vagrant,"7101e0c5-6c09-421a-8576-16c0dffbd6c2",vagrant,filebeat,"8.3.3","1.12.0",web,"Oct 11, 2022 @ 01:51:17.060","nginx.access","Oct 11, 2022 @ 01:51:18.063",event,nginx,"172.27.48.101 - - [11/Oct/2022:08:51:17 +0000] ""POST /auth_login HTTP/1.1"" 302 54 ""http://172.27.48.102/"" ""Mozilla/5.0 (X11; Linux x86_64; rv:91.0) Gecko/20100101 Firefox/91.0"" ""-""",success,"+00:00",access,access,"x86_64",false,vagrant,b8dfaa1058004833be7bbd4cd6b06186,"10.0.2.15, fe80::a00:27ff:fe64:75a1, 192.168.50.2, fe80::a00:27ff:fe03:11ef, 172.18.0.1, fe80::42:9bff:fe2b:6e02, 172.17.0.1, fe80::20eb:aaff:fe1f:3afe, fe80::dce7:92ff:fea4:4245, fe80::5c08:abff:fe9c:b90f, fe80::8456:afff:fe9b:664, fe80::cc00:c1ff:fef0:eff3","02:42:9b:2b:6e:02, 02:42:d5:69:97:97, 08:00:27:03:11:ef, 08:00:27:64:75:a1, 22:eb:aa:1f:3a:fe, 5e:08:ab:9c:b9:0f, 86:56:af:9b:06:64, ce:00:c1:f0:ef:f3, de:e7:92:a4:42:45",vagrant,jammy,debian,"5.15.0-30-generic",Ubuntu,Ubuntu,ubuntu,linux,"22.04 LTS (Jammy Jellyfish)",POST,"http://172.27.48.102/",54B,302,"1.1",log,"/var/log/nginx/access.log","-","148,625","-","172.27.48.101","-","-","172.27.48.101",nginx,"172.27.48.101","172.27.48.101",Firefox,"Mozilla/5.0 (X11; Linux x86_64; rv:91.0) Gecko/20100101 Firefox/91.0",Linux,"-","/auth_login","/auth_login","/auth_login",Other,Firefox,"Mozilla/5.0 (X11; Linux x86_64; rv:91.0) Gecko/20100101 Firefox/91.0","Mozilla/5.0 (X11; Linux x86_64; rv:91.0) Gecko/20100101 Firefox/91.0","-","-",Linux,Linux,"-","91.0."
"Oct 11, 2022 @ 01:51:17.000",nG89xoMB2rJvw05qv8OZ,".ds-filebeat-8.3.3-2022.09.27-000001","-","1340802b-d1f7-4587-8649-47207d77ad31",vagrant,"7101e0c5-6c09-421a-8576-16c0dffbd6c2",vagrant,filebeat,"8.3.3","1.12.0",web,"Oct 11, 2022 @ 01:51:18.061","nginx.access","Oct 11, 2022 @ 01:51:19.064",event,nginx,"172.27.48.101 - - [11/Oct/2022:08:51:17 +0000] ""GET /home HTTP/1.1"" 200 653 ""http://172.27.48.102/"" ""Mozilla/5.0 (X11; Linux x86_64; rv:91.0) Gecko/20100101 Firefox/91.0"" ""-""",success,"+00:00",access,access,"x86_64",false,vagrant,b8dfaa1058004833be7bbd4cd6b06186,"10.0.2.15, fe80::a00:27ff:fe64:75a1, 192.168.50.2, fe80::a00:27ff:fe03:11ef, 172.18.0.1, fe80::42:9bff:fe2b:6e02, 172.17.0.1, fe80::20eb:aaff:fe1f:3afe, fe80::dce7:92ff:fea4:4245, fe80::5c08:abff:fe9c:b90f, fe80::8456:afff:fe9b:664, fe80::cc00:c1ff:fef0:eff3","02:42:9b:2b:6e:02, 02:42:d5:69:97:97, 08:00:27:03:11:ef, 08:00:27:64:75:a1, 22:eb:aa:1f:3a:fe, 5e:08:ab:9c:b9:0f, 86:56:af:9b:06:64, ce:00:c1:f0:ef:f3, de:e7:92:a4:42:45",vagrant,jammy,debian,"5.15.0-30-generic",Ubuntu,Ubuntu,ubuntu,linux,"22.04 LTS (Jammy Jellyfish)",GET,"http://172.27.48.102/",653B,200,"1.1",log,"/var/log/nginx/access.log","-","148,806","-","172.27.48.101","-","-","172.27.48.101",nginx,"172.27.48.101","172.27.48.101",Firefox,"Mozilla/5.0 (X11; Linux x86_64; rv:91.0) Gecko/20100101 Firefox/91.0",Linux,"-","/home","/home","/home",Other,Firefox,"Mozilla/5.0 (X11; Linux x86_64; rv:91.0) Gecko/20100101 Firefox/91.0","Mozilla/5.0 (X11; Linux x86_64; rv:91.0) Gecko/20100101 Firefox/91.0","-","-",Linux,Linux,"-","91.0."
"Oct 11, 2022 @ 01:51:17.000",nW89xoMB2rJvw05qv8OZ,".ds-filebeat-8.3.3-2022.09.27-000001","-","1340802b-d1f7-4587-8649-47207d77ad31",vagrant,"7101e0c5-6c09-421a-8576-16c0dffbd6c2",vagrant,filebeat,"8.3.3","1.12.0",web,"Oct 11, 2022 @ 01:51:18.062","nginx.access","Oct 11, 2022 @ 01:51:19.065",event,nginx,"172.27.48.101 - - [11/Oct/2022:08:51:17 +0000] ""GET /stylesheets/style.css HTTP/1.1"" 304 0 ""http://172.27.48.102/home"" ""Mozilla/5.0 (X11; Linux x86_64; rv:91.0) Gecko/20100101 Firefox/91.0"" ""-""",success,"+00:00",access,access,"x86_64",false,vagrant,b8dfaa1058004833be7bbd4cd6b06186,"10.0.2.15, fe80::a00:27ff:fe64:75a1, 192.168.50.2, fe80::a00:27ff:fe03:11ef, 172.18.0.1, fe80::42:9bff:fe2b:6e02, 172.17.0.1, fe80::20eb:aaff:fe1f:3afe, fe80::dce7:92ff:fea4:4245, fe80::5c08:abff:fe9c:b90f, fe80::8456:afff:fe9b:664, fe80::cc00:c1ff:fef0:eff3","02:42:9b:2b:6e:02, 02:42:d5:69:97:97, 08:00:27:03:11:ef, 08:00:27:64:75:a1, 22:eb:aa:1f:3a:fe, 5e:08:ab:9c:b9:0f, 86:56:af:9b:06:64, ce:00:c1:f0:ef:f3, de:e7:92:a4:42:45",vagrant,jammy,debian,"5.15.0-30-generic",Ubuntu,Ubuntu,ubuntu,linux,"22.04 LTS (Jammy Jellyfish)",GET,"http://172.27.48.102/home",0B,304,"1.1",log,"/var/log/nginx/access.log","-","148,981","-","172.27.48.101","-","-","172.27.48.101",nginx,"172.27.48.101","172.27.48.101",Firefox,"Mozilla/5.0 (X11; Linux x86_64; rv:91.0) Gecko/20100101 Firefox/91.0",Linux,css,"/stylesheets/style.css","/stylesheets/style.css","/stylesheets/style.css",Other,Firefox,"Mozilla/5.0 (X11; Linux x86_64; rv:91.0) Gecko/20100101 Firefox/91.0","Mozilla/5.0 (X11; Linux x86_64; rv:91.0) Gecko/20100101 Firefox/91.0","-","-",Linux,Linux,"-","91.0."
"Oct 11, 2022 @ 01:51:01.000",R289xoMB2rJvw05qgcMU,".ds-filebeat-8.3.3-2022.09.27-000001","-","1340802b-d1f7-4587-8649-47207d77ad31",vagrant,"7101e0c5-6c09-421a-8576-16c0dffbd6c2",vagrant,filebeat,"8.3.3","1.12.0",web,"Oct 11, 2022 @ 01:51:02.056","nginx.access","Oct 11, 2022 @ 01:51:03.058",event,nginx,"172.27.48.101 - - [11/Oct/2022:08:51:01 +0000] ""GET /logout HTTP/1.1"" 302 46 ""http://172.27.48.102/home"" ""Mozilla/5.0 (X11; Linux x86_64; rv:91.0) Gecko/20100101 Firefox/91.0"" ""-""",success,"+00:00",access,access,"x86_64",false,vagrant,b8dfaa1058004833be7bbd4cd6b06186,"10.0.2.15, fe80::a00:27ff:fe64:75a1, 192.168.50.2, fe80::a00:27ff:fe03:11ef, 172.18.0.1, fe80::42:9bff:fe2b:6e02, 172.17.0.1, fe80::20eb:aaff:fe1f:3afe, fe80::dce7:92ff:fea4:4245, fe80::5c08:abff:fe9c:b90f, fe80::8456:afff:fe9b:664, fe80::cc00:c1ff:fef0:eff3","02:42:9b:2b:6e:02, 02:42:d5:69:97:97, 08:00:27:03:11:ef, 08:00:27:64:75:a1, 22:eb:aa:1f:3a:fe, 5e:08:ab:9c:b9:0f, 86:56:af:9b:06:64, ce:00:c1:f0:ef:f3, de:e7:92:a4:42:45",vagrant,jammy,debian,"5.15.0-30-generic",Ubuntu,Ubuntu,ubuntu,linux,"22.04 LTS (Jammy Jellyfish)",GET,"http://172.27.48.102/home",46B,302,"1.1",log,"/var/log/nginx/access.log","-","148,082","-","172.27.48.101","-","-","172.27.48.101",nginx,"172.27.48.101","172.27.48.101",Firefox,"Mozilla/5.0 (X11; Linux x86_64; rv:91.0) Gecko/20100101 Firefox/91.0",Linux,"-","/logout","/logout","/logout",Other,Firefox,"Mozilla/5.0 (X11; Linux x86_64; rv:91.0) Gecko/20100101 Firefox/91.0","Mozilla/5.0 (X11; Linux x86_64; rv:91.0) Gecko/20100101 Firefox/91.0","-","-",Linux,Linux,"-","91.0."
"Oct 11, 2022 @ 01:51:01.000",SG89xoMB2rJvw05qgcMU,".ds-filebeat-8.3.3-2022.09.27-000001","-","1340802b-d1f7-4587-8649-47207d77ad31",vagrant,"7101e0c5-6c09-421a-8576-16c0dffbd6c2",vagrant,filebeat,"8.3.3","1.12.0",web,"Oct 11, 2022 @ 01:51:02.056","nginx.access","Oct 11, 2022 @ 01:51:03.059",event,nginx,"172.27.48.101 - - [11/Oct/2022:08:51:01 +0000] ""GET / HTTP/1.1"" 304 0 ""http://172.27.48.102/home"" ""Mozilla/5.0 (X11; Linux x86_64; rv:91.0) Gecko/20100101 Firefox/91.0"" ""-""",success,"+00:00",access,access,"x86_64",false,vagrant,b8dfaa1058004833be7bbd4cd6b06186,"10.0.2.15, fe80::a00:27ff:fe64:75a1, 192.168.50.2, fe80::a00:27ff:fe03:11ef, 172.18.0.1, fe80::42:9bff:fe2b:6e02, 172.17.0.1, fe80::20eb:aaff:fe1f:3afe, fe80::dce7:92ff:fea4:4245, fe80::5c08:abff:fe9c:b90f, fe80::8456:afff:fe9b:664, fe80::cc00:c1ff:fef0:eff3","02:42:9b:2b:6e:02, 02:42:d5:69:97:97, 08:00:27:03:11:ef, 08:00:27:64:75:a1, 22:eb:aa:1f:3a:fe, 5e:08:ab:9c:b9:0f, 86:56:af:9b:06:64, ce:00:c1:f0:ef:f3, de:e7:92:a4:42:45",vagrant,jammy,debian,"5.15.0-30-generic",Ubuntu,Ubuntu,ubuntu,linux,"22.04 LTS (Jammy Jellyfish)",GET,"http://172.27.48.102/home",0B,304,"1.1",log,"/var/log/nginx/access.log","-","148,262","-","172.27.48.101","-","-","172.27.48.101",nginx,"172.27.48.101","172.27.48.101",Firefox,"Mozilla/5.0 (X11; Linux x86_64; rv:91.0) Gecko/20100101 Firefox/91.0",Linux,"-","/","/","/",Other,Firefox,"Mozilla/5.0 (X11; Linux x86_64; rv:91.0) Gecko/20100101 Firefox/91.0","Mozilla/5.0 (X11; Linux x86_64; rv:91.0) Gecko/20100101 Firefox/91.0","-","-",Linux,Linux,"-","91.0."
"Oct 11, 2022 @ 01:51:01.000",SW89xoMB2rJvw05qgcMU,".ds-filebeat-8.3.3-2022.09.27-000001","-","1340802b-d1f7-4587-8649-47207d77ad31",vagrant,"7101e0c5-6c09-421a-8576-16c0dffbd6c2",vagrant,filebeat,"8.3.3","1.12.0",web,"Oct 11, 2022 @ 01:51:02.056","nginx.access","Oct 11, 2022 @ 01:51:03.060",event,nginx,"172.27.48.101 - - [11/Oct/2022:08:51:01 +0000] ""GET /stylesheets/style.css HTTP/1.1"" 304 0 ""http://172.27.48.102/"" ""Mozilla/5.0 (X11; Linux x86_64; rv:91.0) Gecko/20100101 Firefox/91.0"" ""-""",success,"+00:00",access,access,"x86_64",false,vagrant,b8dfaa1058004833be7bbd4cd6b06186,"10.0.2.15, fe80::a00:27ff:fe64:75a1, 192.168.50.2, fe80::a00:27ff:fe03:11ef, 172.18.0.1, fe80::42:9bff:fe2b:6e02, 172.17.0.1, fe80::20eb:aaff:fe1f:3afe, fe80::dce7:92ff:fea4:4245, fe80::5c08:abff:fe9c:b90f, fe80::8456:afff:fe9b:664, fe80::cc00:c1ff:fef0:eff3","02:42:9b:2b:6e:02, 02:42:d5:69:97:97, 08:00:27:03:11:ef, 08:00:27:64:75:a1, 22:eb:aa:1f:3a:fe, 5e:08:ab:9c:b9:0f, 86:56:af:9b:06:64, ce:00:c1:f0:ef:f3, de:e7:92:a4:42:45",vagrant,jammy,debian,"5.15.0-30-generic",Ubuntu,Ubuntu,ubuntu,linux,"22.04 LTS (Jammy Jellyfish)",GET,"http://172.27.48.102/",0B,304,"1.1",log,"/var/log/nginx/access.log","-","148,435","-","172.27.48.101","-","-","172.27.48.101",nginx,"172.27.48.101","172.27.48.101",Firefox,"Mozilla/5.0 (X11; Linux x86_64; rv:91.0) Gecko/20100101 Firefox/91.0",Linux,css,"/stylesheets/style.css","/stylesheets/style.css","/stylesheets/style.css",Other,Firefox,"Mozilla/5.0 (X11; Linux x86_64; rv:91.0) Gecko/20100101 Firefox/91.0","Mozilla/5.0 (X11; Linux x86_64; rv:91.0) Gecko/20100101 Firefox/91.0","-","-",Linux,Linux,"-","91.0."
"Oct 11, 2022 @ 01:50:58.000",RG89xoMB2rJvw05qfcMs,".ds-filebeat-8.3.3-2022.09.27-000001","-","1340802b-d1f7-4587-8649-47207d77ad31",vagrant,"7101e0c5-6c09-421a-8576-16c0dffbd6c2",vagrant,filebeat,"8.3.3","1.12.0",web,"Oct 11, 2022 @ 01:51:01.027","nginx.access","Oct 11, 2022 @ 01:51:02.058",event,nginx,"172.27.48.101 - - [11/Oct/2022:08:50:58 +0000] ""POST /auth_login HTTP/1.1"" 302 54 ""http://172.27.48.102/"" ""Mozilla/5.0 (X11; Linux x86_64; rv:91.0) Gecko/20100101 Firefox/91.0"" ""-""",success,"+00:00",access,access,"x86_64",false,vagrant,b8dfaa1058004833be7bbd4cd6b06186,"10.0.2.15, fe80::a00:27ff:fe64:75a1, 192.168.50.2, fe80::a00:27ff:fe03:11ef, 172.18.0.1, fe80::42:9bff:fe2b:6e02, 172.17.0.1, fe80::20eb:aaff:fe1f:3afe, fe80::dce7:92ff:fea4:4245, fe80::5c08:abff:fe9c:b90f, fe80::8456:afff:fe9b:664, fe80::cc00:c1ff:fef0:eff3","02:42:9b:2b:6e:02, 02:42:d5:69:97:97, 08:00:27:03:11:ef, 08:00:27:64:75:a1, 22:eb:aa:1f:3a:fe, 5e:08:ab:9c:b9:0f, 86:56:af:9b:06:64, ce:00:c1:f0:ef:f3, de:e7:92:a4:42:45",vagrant,jammy,debian,"5.15.0-30-generic",Ubuntu,Ubuntu,ubuntu,linux,"22.04 LTS (Jammy Jellyfish)",POST,"http://172.27.48.102/",54B,302,"1.1",log,"/var/log/nginx/access.log","-","147,530","-","172.27.48.101","-","-","172.27.48.101",nginx,"172.27.48.101","172.27.48.101",Firefox,"Mozilla/5.0 (X11; Linux x86_64; rv:91.0) Gecko/20100101 Firefox/91.0",Linux,"-","/auth_login","/auth_login","/auth_login",Other,Firefox,"Mozilla/5.0 (X11; Linux x86_64; rv:91.0) Gecko/20100101 Firefox/91.0","Mozilla/5.0 (X11; Linux x86_64; rv:91.0) Gecko/20100101 Firefox/91.0","-","-",Linux,Linux,"-","91.0."
