"@timestamp","_id","_index","_score","agent.ephemeral_id","agent.hostname","agent.id","agent.name","agent.type","agent.version","ecs.version","event.action","event.category","event.code","event.created","event.ingested","event.kind","event.module","event.outcome","event.provider","event.sequence","event.type","group.domain","group.id","group.name","host.architecture","host.hostname","host.id","host.ip","host.mac","host.name","host.os.build","host.os.family","host.os.kernel","host.os.name","host.os.name.text","host.os.platform","host.os.type","host.os.version","log.level",message,"powershell.engine.new_state","powershell.engine.previous_state","powershell.engine.version","powershell.pipeline_id","powershell.process.executable_version","powershell.provider.name","powershell.provider.new_state","powershell.runspace_id","process.args","process.args_count","process.command_line","process.command_line.text","process.entity_id","process.executable","process.executable.text","process.name","process.name.text","process.pid","process.title","process.title.text","related.ip","related.user","source.domain","source.ip","source.port","user.domain","user.effective.domain","user.effective.name","user.effective.name.text","user.id","user.name","user.name.text","user.target.domain","user.target.id","user.target.name","user.target.name.text","winlog.activity_id","winlog.api","winlog.channel","winlog.computer_name","winlog.event_data.AlgorithmName","winlog.event_data.AuthenticationPackageName","winlog.event_data.Binary","winlog.event_data.CallerProcessId","winlog.event_data.CallerProcessName","winlog.event_data.ClientCreationTime","winlog.event_data.ClientProcessId","winlog.event_data.CountOfCredentialsReturned","winlog.event_data.DirtyPages","winlog.event_data.ElevatedToken","winlog.event_data.ExtraInfo","winlog.event_data.Flags","winlog.event_data.HiveName","winlog.event_data.HiveNameLength","winlog.event_data.Identity","winlog.event_data.ImpersonationLevel","winlog.event_data.IpAddress","winlog.event_data.IpPort","winlog.event_data.KeyFilePath","winlog.event_data.KeyLength","winlog.event_data.KeyName","winlog.event_data.KeyType","winlog.event_data.KeysUpdated","winlog.event_data.LmPackageName","winlog.event_data.LogonGuid","winlog.event_data.LogonProcessName","winlog.event_data.LogonType","winlog.event_data.NewSize","winlog.event_data.Operation","winlog.event_data.OriginalSize","winlog.event_data.PrivilegeList","winlog.event_data.ProcessCreationTime","winlog.event_data.ProviderName","winlog.event_data.ReadOperation","winlog.event_data.Resource","winlog.event_data.RestrictedAdminMode","winlog.event_data.ReturnCode","winlog.event_data.Schema","winlog.event_data.SchemaFriendlyName","winlog.event_data.SubjectDomainName","winlog.event_data.SubjectLogonId","winlog.event_data.SubjectUserName","winlog.event_data.SubjectUserSid","winlog.event_data.TSId","winlog.event_data.TargetDomainName","winlog.event_data.TargetInfo","winlog.event_data.TargetLinkedLogonId","winlog.event_data.TargetLogonGuid","winlog.event_data.TargetLogonId","winlog.event_data.TargetName","winlog.event_data.TargetOutboundDomainName","winlog.event_data.TargetOutboundUserName","winlog.event_data.TargetServerName","winlog.event_data.TargetSid","winlog.event_data.TargetUserName","winlog.event_data.TargetUserSid","winlog.event_data.TransmittedServices","winlog.event_data.Type","winlog.event_data.UserSid","winlog.event_data.VirtualAccount","winlog.event_data.param1","winlog.event_data.param10","winlog.event_data.param11","winlog.event_data.param2","winlog.event_data.param3","winlog.event_data.param4","winlog.event_data.param5","winlog.event_data.param6","winlog.event_data.param7","winlog.event_data.param8","winlog.event_data.param9","winlog.event_data.serviceGuid","winlog.event_data.updateGuid","winlog.event_data.updateRevisionNumber","winlog.event_data.updateTitle","winlog.event_id","winlog.keywords","winlog.logon.id","winlog.logon.type","winlog.opcode","winlog.process.pid","winlog.process.thread.id","winlog.provider_guid","winlog.provider_name","winlog.record_id","winlog.task","winlog.user.domain","winlog.user.identifier","winlog.user.name","winlog.user.type","winlog.version"
"Oct 9, 2022 @ 03:59:40.393",2GDmuoMBv7QqA8hY1iOP,".ds-winlogbeat-8.4.2-2022.09.27-000001","-","cf3699d7-5cb1-463f-a85f-a07c0632c54a","DESKTOP-STCA0K7","b5f6a7eb-024c-49d7-a722-2c9d1ee679a8","DESKTOP-STCA0K7",winlogbeat,"8.4.2","1.12.0","logged-in",authentication,4624,"Oct 9, 2022 @ 03:59:41.764","Oct 9, 2022 @ 04:00:33.934",event,security,success,"Microsoft-Windows-Security-Auditing","-",start,"-","-","-","x86_64","DESKTOP-STCA0K7","3a59bcc1-dab3-4fea-87c6-2dbb28db6023","fe80::d09e:33bc:93fc:2ba7, 10.0.2.15, fe80::bd6f:3885:d011:5ab0, 192.168.50.7","08:00:27:7c:f3:ae, 08:00:27:e4:bd:9d","DESKTOP-STCA0K7","19044.1889",windows,"10.0.19041.1889 (WinBuild.160101.0800)","Windows 10 Enterprise Evaluation","Windows 10 Enterprise Evaluation",windows,windows,"10.0",information,"An account was successfully logged on.

Subject:
	Security ID:		S-1-5-18
	Account Name:		DESKTOP-STCA0K7$
	Account Domain:		WORKGROUP
	Logon ID:		0x3E7

Logon Information:
	Logon Type:		5
	Restricted Admin Mode:	-
	Virtual Account:		No
	Elevated Token:		Yes

Impersonation Level:		Impersonation

New Logon:
	Security ID:		S-1-5-18
	Account Name:		SYSTEM
	Account Domain:		NT AUTHORITY
	Logon ID:		0x3E7
	Linked Logon ID:		0x0
	Network Account Name:	-
	Network Account Domain:	-
	Logon GUID:		{00000000-0000-0000-0000-000000000000}

Process Information:
	Process ID:		0x290
	Process Name:		C:\Windows\System32\services.exe

Network Information:
	Workstation Name:	-
	Source Network Address:	-
	Source Port:		-

Detailed Authentication Information:
	Logon Process:		Advapi  
	Authentication Package:	Negotiate
	Transited Services:	-
	Package Name (NTLM only):	-
	Key Length:		0

This event is generated when a logon session is created. It is generated on the computer that was accessed.

The subject fields indicate the account on the local system which requested the logon. This is most commonly a service such as the Server service, or a local process such as Winlogon.exe or Services.exe.

The logon type field indicates the kind of logon that occurred. The most common types are 2 (interactive) and 3 (network).

The New Logon fields indicate the account for whom the new logon was created, i.e. the account that was logged on.

The network fields indicate where a remote logon request originated. Workstation name is not always available and may be left blank in some cases.

The impersonation level field indicates the extent to which a process in the logon session can impersonate.

The authentication information fields provide detailed information about this specific logon request.
	- Logon GUID is a unique identifier that can be used to correlate this event with a KDC event.
	- Transited services indicate which intermediate services have participated in this logon request.
	- Package name indicates which sub-protocol was used among the NTLM protocols.
	- Key length indicates the length of the generated session key. This will be 0 if no session key was requested.","-","-","-","-","-","-","-","-","-","-","-","-","-","C:\Windows\System32\services.exe","C:\Windows\System32\services.exe","services.exe","services.exe",656,"-","-","-","SYSTEM, DESKTOP-STCA0K7$","-","-","-","NT AUTHORITY","-","-","-","S-1-5-18",SYSTEM,SYSTEM,"-","-","-","-","{3235c46a-db91-0000-adc4-353291dbd801}",wineventlog,Security,"DESKTOP-STCA0K7","-",Negotiate,"-","-","-","-","-","-","-","%%1842","-","-","-","-","-","%%1833","-","-","-",0,"-","-","-","-","{00000000-0000-0000-0000-000000000000}","Advapi  ",5,"-","-","-","-","-","-","-","-","-","-","-","-",WORKGROUP,0x3e7,"DESKTOP-STCA0K7$","S-1-5-18","-","NT AUTHORITY","-",0x0,"-",0x3e7,"-","-","-","-","-",SYSTEM,"S-1-5-18","-","-","-","%%1843","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",4624,"Audit Success",0x3e7,Service,Info,664,"1,388","{54849625-5478-4994-a5ba-3e3b0328c30d}","Microsoft-Windows-Security-Auditing",18247,Logon,"-","-","-","-",2
"Oct 9, 2022 @ 03:59:40.393",2WDmuoMBv7QqA8hY1iOP,".ds-winlogbeat-8.4.2-2022.09.27-000001","-","cf3699d7-5cb1-463f-a85f-a07c0632c54a","DESKTOP-STCA0K7","b5f6a7eb-024c-49d7-a722-2c9d1ee679a8","DESKTOP-STCA0K7",winlogbeat,"8.4.2","1.12.0","logged-in-special",iam,4672,"Oct 9, 2022 @ 03:59:41.764","Oct 9, 2022 @ 04:00:33.935",event,security,success,"Microsoft-Windows-Security-Auditing","-",admin,"-","-","-","x86_64","DESKTOP-STCA0K7","3a59bcc1-dab3-4fea-87c6-2dbb28db6023","fe80::d09e:33bc:93fc:2ba7, 10.0.2.15, fe80::bd6f:3885:d011:5ab0, 192.168.50.7","08:00:27:7c:f3:ae, 08:00:27:e4:bd:9d","DESKTOP-STCA0K7","19044.1889",windows,"10.0.19041.1889 (WinBuild.160101.0800)","Windows 10 Enterprise Evaluation","Windows 10 Enterprise Evaluation",windows,windows,"10.0",information,"Special privileges assigned to new logon.

Subject:
	Security ID:		S-1-5-18
	Account Name:		SYSTEM
	Account Domain:		NT AUTHORITY
	Logon ID:		0x3E7

Privileges:		SeAssignPrimaryTokenPrivilege
			SeTcbPrivilege
			SeSecurityPrivilege
			SeTakeOwnershipPrivilege
			SeLoadDriverPrivilege
			SeBackupPrivilege
			SeRestorePrivilege
			SeDebugPrivilege
			SeAuditPrivilege
			SeSystemEnvironmentPrivilege
			SeImpersonatePrivilege
			SeDelegateSessionUserImpersonatePrivilege","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",SYSTEM,"-","-","-","NT AUTHORITY","-","-","-","S-1-5-18",SYSTEM,SYSTEM,"-","-","-","-","{3235c46a-db91-0000-adc4-353291dbd801}",wineventlog,Security,"DESKTOP-STCA0K7","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","SeAssignPrimaryTokenPrivilege, SeTcbPrivilege, SeSecurityPrivilege, SeTakeOwnershipPrivilege, SeLoadDriverPrivilege, SeBackupPrivilege, SeRestorePrivilege, SeDebugPrivilege, SeAuditPrivilege, SeSystemEnvironmentPrivilege, SeImpersonatePrivilege, SeDelegateSessionUserImpersonatePrivilege","-","-","-","-","-","-","-","-","NT AUTHORITY",0x3e7,SYSTEM,"S-1-5-18","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",4672,"Audit Success",0x3e7,"-",Info,664,"1,388","{54849625-5478-4994-a5ba-3e3b0328c30d}","Microsoft-Windows-Security-Auditing",18248,"Special Logon","-","-","-","-","-"
"Oct 9, 2022 @ 03:59:38.348",sWDmuoMBv7QqA8hYxiPD,".ds-winlogbeat-8.4.2-2022.09.27-000001","-","cf3699d7-5cb1-463f-a85f-a07c0632c54a","DESKTOP-STCA0K7","b5f6a7eb-024c-49d7-a722-2c9d1ee679a8","DESKTOP-STCA0K7",winlogbeat,"8.4.2","8.0.0",None,"-",0,"Oct 9, 2022 @ 03:59:38.551","Oct 9, 2022 @ 04:00:29.891",event,"-","-",edgeupdate,"-","-","-","-","-","x86_64","DESKTOP-STCA0K7","3a59bcc1-dab3-4fea-87c6-2dbb28db6023","fe80::d09e:33bc:93fc:2ba7, 10.0.2.15, fe80::bd6f:3885:d011:5ab0, 192.168.50.7","08:00:27:7c:f3:ae, 08:00:27:e4:bd:9d","DESKTOP-STCA0K7","19044.1889",windows,"10.0.19041.1889 (WinBuild.160101.0800)","Windows 10 Enterprise Evaluation","Windows 10 Enterprise Evaluation",windows,windows,"10.0",information,"Service stopped.","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",wineventlog,Application,"DESKTOP-STCA0K7","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","Service stopped","-","-","-","-","-","-","-","-","-","-","-","-","-","-",0,Classic,"-","-",Info,"-","-","-",edgeupdate,730,None,"-","-","-","-","-"
"Oct 9, 2022 @ 03:59:36.972",sGDmuoMBv7QqA8hYxiPD,".ds-winlogbeat-8.4.2-2022.09.27-000001","-","cf3699d7-5cb1-463f-a85f-a07c0632c54a","DESKTOP-STCA0K7","b5f6a7eb-024c-49d7-a722-2c9d1ee679a8","DESKTOP-STCA0K7",winlogbeat,"8.4.2","1.12.0","user-member-enumerated",iam,4799,"Oct 9, 2022 @ 03:59:38.551","Oct 9, 2022 @ 04:00:29.891",event,security,success,"Microsoft-Windows-Security-Auditing","-","group, info",Builtin,"S-1-5-32-545",Users,"x86_64","DESKTOP-STCA0K7","3a59bcc1-dab3-4fea-87c6-2dbb28db6023","fe80::d09e:33bc:93fc:2ba7, 10.0.2.15, fe80::bd6f:3885:d011:5ab0, 192.168.50.7","08:00:27:7c:f3:ae, 08:00:27:e4:bd:9d","DESKTOP-STCA0K7","19044.1889",windows,"10.0.19041.1889 (WinBuild.160101.0800)","Windows 10 Enterprise Evaluation","Windows 10 Enterprise Evaluation",windows,windows,"10.0",information,"A security-enabled local group membership was enumerated.

Subject:
	Security ID:		S-1-5-18
	Account Name:		DESKTOP-STCA0K7$
	Account Domain:		WORKGROUP
	Logon ID:		0x3E7

Group:
	Security ID:		S-1-5-32-545
	Group Name:		Users
	Group Domain:		Builtin

Process Information:
	Process ID:		0x1ef0
	Process Name:		C:\Program Files (x86)\Microsoft\EdgeUpdate\Install\{295E1099-5235-4FA1-AF4E-D6283AE8EB37}\EDGEMITMP_7E2D6.tmp\setup.exe","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","DESKTOP-STCA0K7$","-","-","-",WORKGROUP,"-","-","-","S-1-5-18","DESKTOP-STCA0K7$","DESKTOP-STCA0K7$","-","-","-","-","{3235c46a-db91-0000-adc4-353291dbd801}",wineventlog,Security,"DESKTOP-STCA0K7","-","-","-",0x1ef0,"C:\Program Files (x86)\Microsoft\EdgeUpdate\Install\{295E1099-5235-4FA1-AF4E-D6283AE8EB37}\EDGEMITMP_7E2D6.tmp\setup.exe","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",WORKGROUP,0x3e7,"DESKTOP-STCA0K7$","S-1-5-18","-",Builtin,"-","-","-","-","-","-","-","-","S-1-5-32-545",Users,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",4799,"Audit Success",0x3e7,"-",Info,664,"7,440","{54849625-5478-4994-a5ba-3e3b0328c30d}","Microsoft-Windows-Security-Auditing",18246,"Security Group Management","-","-","-","-","-"
"Oct 9, 2022 @ 03:59:14.859",9mDmuoMBv7QqA8hYRSKX,".ds-winlogbeat-8.4.2-2022.09.27-000001","-","cf3699d7-5cb1-463f-a85f-a07c0632c54a","DESKTOP-STCA0K7","b5f6a7eb-024c-49d7-a722-2c9d1ee679a8","DESKTOP-STCA0K7",winlogbeat,"8.4.2","1.12.0","logged-in",authentication,4624,"Oct 9, 2022 @ 03:59:15.987","Oct 9, 2022 @ 03:59:56.822",event,security,success,"Microsoft-Windows-Security-Auditing","-",start,"-","-","-","x86_64","DESKTOP-STCA0K7","3a59bcc1-dab3-4fea-87c6-2dbb28db6023","fe80::d09e:33bc:93fc:2ba7, 10.0.2.15, fe80::bd6f:3885:d011:5ab0, 192.168.50.7","08:00:27:7c:f3:ae, 08:00:27:e4:bd:9d","DESKTOP-STCA0K7","19044.1889",windows,"10.0.19041.1889 (WinBuild.160101.0800)","Windows 10 Enterprise Evaluation","Windows 10 Enterprise Evaluation",windows,windows,"10.0",information,"An account was successfully logged on.

Subject:
	Security ID:		S-1-5-18
	Account Name:		DESKTOP-STCA0K7$
	Account Domain:		WORKGROUP
	Logon ID:		0x3E7

Logon Information:
	Logon Type:		5
	Restricted Admin Mode:	-
	Virtual Account:		No
	Elevated Token:		Yes

Impersonation Level:		Impersonation

New Logon:
	Security ID:		S-1-5-18
	Account Name:		SYSTEM
	Account Domain:		NT AUTHORITY
	Logon ID:		0x3E7
	Linked Logon ID:		0x0
	Network Account Name:	-
	Network Account Domain:	-
	Logon GUID:		{00000000-0000-0000-0000-000000000000}

Process Information:
	Process ID:		0x290
	Process Name:		C:\Windows\System32\services.exe

Network Information:
	Workstation Name:	-
	Source Network Address:	-
	Source Port:		-

Detailed Authentication Information:
	Logon Process:		Advapi  
	Authentication Package:	Negotiate
	Transited Services:	-
	Package Name (NTLM only):	-
	Key Length:		0

This event is generated when a logon session is created. It is generated on the computer that was accessed.

The subject fields indicate the account on the local system which requested the logon. This is most commonly a service such as the Server service, or a local process such as Winlogon.exe or Services.exe.

The logon type field indicates the kind of logon that occurred. The most common types are 2 (interactive) and 3 (network).

The New Logon fields indicate the account for whom the new logon was created, i.e. the account that was logged on.

The network fields indicate where a remote logon request originated. Workstation name is not always available and may be left blank in some cases.

The impersonation level field indicates the extent to which a process in the logon session can impersonate.

The authentication information fields provide detailed information about this specific logon request.
	- Logon GUID is a unique identifier that can be used to correlate this event with a KDC event.
	- Transited services indicate which intermediate services have participated in this logon request.
	- Package name indicates which sub-protocol was used among the NTLM protocols.
	- Key length indicates the length of the generated session key. This will be 0 if no session key was requested.","-","-","-","-","-","-","-","-","-","-","-","-","-","C:\Windows\System32\services.exe","C:\Windows\System32\services.exe","services.exe","services.exe",656,"-","-","-","SYSTEM, DESKTOP-STCA0K7$","-","-","-","NT AUTHORITY","-","-","-","S-1-5-18",SYSTEM,SYSTEM,"-","-","-","-","{3235c46a-db91-0000-adc4-353291dbd801}",wineventlog,Security,"DESKTOP-STCA0K7","-",Negotiate,"-","-","-","-","-","-","-","%%1842","-","-","-","-","-","%%1833","-","-","-",0,"-","-","-","-","{00000000-0000-0000-0000-000000000000}","Advapi  ",5,"-","-","-","-","-","-","-","-","-","-","-","-",WORKGROUP,0x3e7,"DESKTOP-STCA0K7$","S-1-5-18","-","NT AUTHORITY","-",0x0,"-",0x3e7,"-","-","-","-","-",SYSTEM,"S-1-5-18","-","-","-","%%1843","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",4624,"Audit Success",0x3e7,Service,Info,664,708,"{54849625-5478-4994-a5ba-3e3b0328c30d}","Microsoft-Windows-Security-Auditing",18244,Logon,"-","-","-","-",2
"Oct 9, 2022 @ 03:59:14.859",92DmuoMBv7QqA8hYRSKX,".ds-winlogbeat-8.4.2-2022.09.27-000001","-","cf3699d7-5cb1-463f-a85f-a07c0632c54a","DESKTOP-STCA0K7","b5f6a7eb-024c-49d7-a722-2c9d1ee679a8","DESKTOP-STCA0K7",winlogbeat,"8.4.2","1.12.0","logged-in-special",iam,4672,"Oct 9, 2022 @ 03:59:15.987","Oct 9, 2022 @ 03:59:56.822",event,security,success,"Microsoft-Windows-Security-Auditing","-",admin,"-","-","-","x86_64","DESKTOP-STCA0K7","3a59bcc1-dab3-4fea-87c6-2dbb28db6023","fe80::d09e:33bc:93fc:2ba7, 10.0.2.15, fe80::bd6f:3885:d011:5ab0, 192.168.50.7","08:00:27:7c:f3:ae, 08:00:27:e4:bd:9d","DESKTOP-STCA0K7","19044.1889",windows,"10.0.19041.1889 (WinBuild.160101.0800)","Windows 10 Enterprise Evaluation","Windows 10 Enterprise Evaluation",windows,windows,"10.0",information,"Special privileges assigned to new logon.

Subject:
	Security ID:		S-1-5-18
	Account Name:		SYSTEM
	Account Domain:		NT AUTHORITY
	Logon ID:		0x3E7

Privileges:		SeAssignPrimaryTokenPrivilege
			SeTcbPrivilege
			SeSecurityPrivilege
			SeTakeOwnershipPrivilege
			SeLoadDriverPrivilege
			SeBackupPrivilege
			SeRestorePrivilege
			SeDebugPrivilege
			SeAuditPrivilege
			SeSystemEnvironmentPrivilege
			SeImpersonatePrivilege
			SeDelegateSessionUserImpersonatePrivilege","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",SYSTEM,"-","-","-","NT AUTHORITY","-","-","-","S-1-5-18",SYSTEM,SYSTEM,"-","-","-","-","{3235c46a-db91-0000-adc4-353291dbd801}",wineventlog,Security,"DESKTOP-STCA0K7","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","SeAssignPrimaryTokenPrivilege, SeTcbPrivilege, SeSecurityPrivilege, SeTakeOwnershipPrivilege, SeLoadDriverPrivilege, SeBackupPrivilege, SeRestorePrivilege, SeDebugPrivilege, SeAuditPrivilege, SeSystemEnvironmentPrivilege, SeImpersonatePrivilege, SeDelegateSessionUserImpersonatePrivilege","-","-","-","-","-","-","-","-","NT AUTHORITY",0x3e7,SYSTEM,"S-1-5-18","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",4672,"Audit Success",0x3e7,"-",Info,664,708,"{54849625-5478-4994-a5ba-3e3b0328c30d}","Microsoft-Windows-Security-Auditing",18245,"Special Logon","-","-","-","-","-"
"Oct 9, 2022 @ 03:56:00.352",3mDjuoMBv7QqA8hYLR1k,".ds-winlogbeat-8.4.2-2022.09.27-000001","-","cf3699d7-5cb1-463f-a85f-a07c0632c54a","DESKTOP-STCA0K7","b5f6a7eb-024c-49d7-a722-2c9d1ee679a8","DESKTOP-STCA0K7",winlogbeat,"8.4.2","8.0.0",None,"-",8224,"Oct 9, 2022 @ 03:56:00.546","Oct 9, 2022 @ 03:56:34.020",event,"-","-",VSS,"-","-","-","-","-","x86_64","DESKTOP-STCA0K7","3a59bcc1-dab3-4fea-87c6-2dbb28db6023","fe80::d09e:33bc:93fc:2ba7, 10.0.2.15, fe80::bd6f:3885:d011:5ab0, 192.168.50.7","08:00:27:7c:f3:ae, 08:00:27:e4:bd:9d","DESKTOP-STCA0K7","19044.1889",windows,"10.0.19041.1889 (WinBuild.160101.0800)","Windows 10 Enterprise Evaluation","Windows 10 Enterprise Evaluation",windows,windows,"10.0",information,"The VSS service is shutting down due to idle timeout. ","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",wineventlog,Application,"DESKTOP-STCA0K7","-","-",2D20436F64653A2020434F525356434330303030303737342D2043616C6C3A2020434F525356434330303030303735362D205049443A202030303030383934382D205449443A202030303030373536382D20434D443A2020433A5C57696E646F77735C73797374656D33325C76737376632E6578652020202D20557365723A204E616D653A204E5420415554484F524954595C53595354454D2C205349443A532D312D352D313820,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",8224,Classic,"-","-",Info,"-","-","-",VSS,729,None,"-","-","-","-","-"
"Oct 9, 2022 @ 03:54:19.850",u2DhuoMBv7QqA8hYKBql,".ds-winlogbeat-8.4.2-2022.09.27-000001","-","cf3699d7-5cb1-463f-a85f-a07c0632c54a","DESKTOP-STCA0K7","b5f6a7eb-024c-49d7-a722-2c9d1ee679a8","DESKTOP-STCA0K7",winlogbeat,"8.4.2","8.0.0",None,"-",7040,"Oct 9, 2022 @ 03:54:21.237","Oct 9, 2022 @ 03:54:21.733",event,"-","-","Service Control Manager","-","-","-","-","-","x86_64","DESKTOP-STCA0K7","3a59bcc1-dab3-4fea-87c6-2dbb28db6023","fe80::d09e:33bc:93fc:2ba7, 10.0.2.15, fe80::bd6f:3885:d011:5ab0, 192.168.50.7","08:00:27:7c:f3:ae, 08:00:27:e4:bd:9d","DESKTOP-STCA0K7","19044.1889",windows,"10.0.19041.1889 (WinBuild.160101.0800)","Windows 10 Enterprise Evaluation","Windows 10 Enterprise Evaluation",windows,windows,"10.0",information,"The start type of the Background Intelligent Transfer Service service was changed from auto start to demand start.","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",wineventlog,System,"DESKTOP-STCA0K7","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","Background Intelligent Transfer Service","-","-","auto start","demand start",BITS,"-","-","-","-","-","-","-","-","-",7040,Classic,"-","-",Info,656,"8,872","{555908d1-a6d7-4695-8e1e-26931d2012f4}","Service Control Manager",1181,None,"NT AUTHORITY","S-1-5-18",SYSTEM,User,"-"
"Oct 9, 2022 @ 03:54:01.023",QGDguoMBv7QqA8hY1Rqv,".ds-winlogbeat-8.4.2-2022.09.27-000001","-","cf3699d7-5cb1-463f-a85f-a07c0632c54a","DESKTOP-STCA0K7","b5f6a7eb-024c-49d7-a722-2c9d1ee679a8","DESKTOP-STCA0K7",winlogbeat,"8.4.2","8.0.0",None,"-",16384,"Oct 9, 2022 @ 03:54:01.998","Oct 9, 2022 @ 03:54:00.494",event,"-","-","Microsoft-Windows-Security-SPP","-","-","-","-","-","x86_64","DESKTOP-STCA0K7","3a59bcc1-dab3-4fea-87c6-2dbb28db6023","fe80::d09e:33bc:93fc:2ba7, 10.0.2.15, fe80::bd6f:3885:d011:5ab0, 192.168.50.7","08:00:27:7c:f3:ae, 08:00:27:e4:bd:9d","DESKTOP-STCA0K7","19044.1889",windows,"10.0.19041.1889 (WinBuild.160101.0800)","Windows 10 Enterprise Evaluation","Windows 10 Enterprise Evaluation",windows,windows,"10.0",information,"Successfully scheduled Software Protection service for re-start at 2022-11-18T12:48:01Z. Reason: RulesEngine.","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",wineventlog,Application,"DESKTOP-STCA0K7","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","2022-11-18T12:48:01Z","-","-",RulesEngine,"-","-","-","-","-","-","-","-","-","-","-",16384,Classic,"-","-",Info,"-","-","{E23B33B0-C8C9-472C-A5F9-F2BDFEA0F156}","Microsoft-Windows-Security-SPP",728,None,"-","-","-","-","-"
"Oct 9, 2022 @ 03:53:49.878",9mDguoMBv7QqA8hYqhky,".ds-winlogbeat-8.4.2-2022.09.27-000001","-","cf3699d7-5cb1-463f-a85f-a07c0632c54a","DESKTOP-STCA0K7","b5f6a7eb-024c-49d7-a722-2c9d1ee679a8","DESKTOP-STCA0K7",winlogbeat,"8.4.2","8.0.0",None,"-",15,"Oct 9, 2022 @ 03:53:50.095","Oct 9, 2022 @ 03:53:49.362",event,"-","-",SecurityCenter,"-","-","-","-","-","x86_64","DESKTOP-STCA0K7","3a59bcc1-dab3-4fea-87c6-2dbb28db6023","fe80::d09e:33bc:93fc:2ba7, 10.0.2.15, fe80::bd6f:3885:d011:5ab0, 192.168.50.7","08:00:27:7c:f3:ae, 08:00:27:e4:bd:9d","DESKTOP-STCA0K7","19044.1889",windows,"10.0.19041.1889 (WinBuild.160101.0800)","Windows 10 Enterprise Evaluation","Windows 10 Enterprise Evaluation",windows,windows,"10.0",information,"Updated Windows Defender status successfully to SECURITY_PRODUCT_STATE_ON.","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",wineventlog,Application,"DESKTOP-STCA0K7","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","Windows Defender","-","-","SECURITY_PRODUCT_STATE_ON","-","-","-","-","-","-","-","-","-","-","-",15,Classic,"-","-",Info,"-","-","-",SecurityCenter,727,None,"-","-","-","-","-"
