@timestamp,@version,agent.ephemeral_id,agent.id,agent.name,agent.type,agent.version,ecs.version,event.original,host.architecture,host.containerized,host.hostname,host.id,host.ip,host.mac,host.name,host.os.codename,host.os.family,host.os.kernel,host.os.name,host.os.platform,host.os.type,host.os.version,log.file.path,log.offset,log.syslog.facility.code,log.syslog.facility.name,log.syslog.severity.code,log.syslog.severity.name,message,received_at,received_from,syslog_hostname,syslog_message,syslog_pid,syslog_program,syslog_timestamp,tags,type,_id,_index,_score
"Oct 25, 2022 @ 13:47:47.000",1,52da805c-83a8-4652-a8dd-ef03858f7280,41a7d681-fe17-4bed-983f-d649c4c06842,2fdfd11d16f0,filebeat,8.3.3,8.0.0,"Oct 25 05:47:47 2fdfd11d16f0 groupadd[237]: group added to /etc/group: name=admin, GID=1001",x86_64,TRUE,2fdfd11d16f0,d7fdfbd620d3d97fa277cdc0635761eb,"192.168.33.12, 192.168.34.12","02:42:c0:a8:21:0c, 02:42:c0:a8:22:0c",2fdfd11d16f0,focal,debian,4.15.0-58-generic,Ubuntu,ubuntu,linux,20.04.5 LTS (Focal Fossa),/var/log/auth.log,791,1,user-level,5,notice,"Oct 25 05:47:47 2fdfd11d16f0 groupadd[237]: group added to /etc/group: name=admin, GID=1001","Oct 25, 2022 @ 13:47:51.725","{""hostname"":""2fdfd11d16f0"",""os"":{""kernel"":""4.15.0-58-generic"",""codename"":""focal"",""name"":""Ubuntu"",""type"":""linux"",""family"":""debian"",""version"":""20.04.5 LTS (Focal Fossa)"",""platform"":""ubuntu""},""ip"":[""192.168.33.12"",""192.168.34.12""],""containerized"":true,""name"":""2fdfd11d16f0"",""id"":""d7fdfbd620d3d97fa277cdc0635761eb"",""mac"":[""02:42:c0:a8:21:0c"",""02:42:c0:a8:22:0c""],""architecture"":""x86_64""}",2fdfd11d16f0,"group added to /etc/group: name=admin, GID=1001",237,groupadd,1/10/2025 05:47,beats_input_codec_plain_applied,syslog,n16uDYQBkgYblV-21oms,filebeat-2022.10.25,-
"Oct 25, 2022 @ 13:47:47.000",1,52da805c-83a8-4652-a8dd-ef03858f7280,41a7d681-fe17-4bed-983f-d649c4c06842,2fdfd11d16f0,filebeat,8.3.3,8.0.0,Oct 25 05:47:47 2fdfd11d16f0 usermod[255]: change user 'admin' password,x86_64,TRUE,2fdfd11d16f0,d7fdfbd620d3d97fa277cdc0635761eb,"192.168.33.12, 192.168.34.12","02:42:c0:a8:21:0c, 02:42:c0:a8:22:0c",2fdfd11d16f0,focal,debian,4.15.0-58-generic,Ubuntu,ubuntu,linux,20.04.5 LTS (Focal Fossa),/var/log/auth.log,"1,173",1,user-level,5,notice,Oct 25 05:47:47 2fdfd11d16f0 usermod[255]: change user 'admin' password,"Oct 25, 2022 @ 13:47:51.725","{""hostname"":""2fdfd11d16f0"",""os"":{""kernel"":""4.15.0-58-generic"",""codename"":""focal"",""name"":""Ubuntu"",""type"":""linux"",""family"":""debian"",""version"":""20.04.5 LTS (Focal Fossa)"",""platform"":""ubuntu""},""ip"":[""192.168.33.12"",""192.168.34.12""],""containerized"":true,""name"":""2fdfd11d16f0"",""id"":""d7fdfbd620d3d97fa277cdc0635761eb"",""mac"":[""02:42:c0:a8:21:0c"",""02:42:c0:a8:22:0c""],""architecture"":""x86_64""}",2fdfd11d16f0,change user 'admin' password,255,usermod,1/10/2025 05:47,beats_input_codec_plain_applied,syslog,oF6uDYQBkgYblV-21oms,filebeat-2022.10.25,-
"Oct 25, 2022 @ 13:47:47.000",1,52da805c-83a8-4652-a8dd-ef03858f7280,41a7d681-fe17-4bed-983f-d649c4c06842,2fdfd11d16f0,filebeat,8.3.3,8.0.0,Oct 25 05:47:47 2fdfd11d16f0 groupadd[237]: group added to /etc/gshadow: name=admin,x86_64,TRUE,2fdfd11d16f0,d7fdfbd620d3d97fa277cdc0635761eb,"192.168.33.12, 192.168.34.12","02:42:c0:a8:21:0c, 02:42:c0:a8:22:0c",2fdfd11d16f0,focal,debian,4.15.0-58-generic,Ubuntu,ubuntu,linux,20.04.5 LTS (Focal Fossa),/var/log/auth.log,883,1,user-level,5,notice,Oct 25 05:47:47 2fdfd11d16f0 groupadd[237]: group added to /etc/gshadow: name=admin,"Oct 25, 2022 @ 13:47:51.725","{""hostname"":""2fdfd11d16f0"",""os"":{""kernel"":""4.15.0-58-generic"",""codename"":""focal"",""name"":""Ubuntu"",""type"":""linux"",""family"":""debian"",""version"":""20.04.5 LTS (Focal Fossa)"",""platform"":""ubuntu""},""ip"":[""192.168.33.12"",""192.168.34.12""],""containerized"":true,""name"":""2fdfd11d16f0"",""id"":""d7fdfbd620d3d97fa277cdc0635761eb"",""mac"":[""02:42:c0:a8:21:0c"",""02:42:c0:a8:22:0c""],""architecture"":""x86_64""}",2fdfd11d16f0,group added to /etc/gshadow: name=admin,237,groupadd,1/10/2025 05:47,beats_input_codec_plain_applied,syslog,m16uDYQBkgYblV-21oms,filebeat-2022.10.25,-
"Oct 25, 2022 @ 13:47:47.000",1,52da805c-83a8-4652-a8dd-ef03858f7280,41a7d681-fe17-4bed-983f-d649c4c06842,2fdfd11d16f0,filebeat,8.3.3,8.0.0,Oct 25 05:47:47 2fdfd11d16f0 chfn[262]: changed user 'admin' information,x86_64,TRUE,2fdfd11d16f0,d7fdfbd620d3d97fa277cdc0635761eb,"192.168.33.12, 192.168.34.12","02:42:c0:a8:21:0c, 02:42:c0:a8:22:0c",2fdfd11d16f0,focal,debian,4.15.0-58-generic,Ubuntu,ubuntu,linux,20.04.5 LTS (Focal Fossa),/var/log/auth.log,"1,245",1,user-level,5,notice,Oct 25 05:47:47 2fdfd11d16f0 chfn[262]: changed user 'admin' information,"Oct 25, 2022 @ 13:47:51.725","{""hostname"":""2fdfd11d16f0"",""os"":{""kernel"":""4.15.0-58-generic"",""codename"":""focal"",""name"":""Ubuntu"",""type"":""linux"",""family"":""debian"",""version"":""20.04.5 LTS (Focal Fossa)"",""platform"":""ubuntu""},""ip"":[""192.168.33.12"",""192.168.34.12""],""containerized"":true,""name"":""2fdfd11d16f0"",""id"":""d7fdfbd620d3d97fa277cdc0635761eb"",""mac"":[""02:42:c0:a8:21:0c"",""02:42:c0:a8:22:0c""],""architecture"":""x86_64""}",2fdfd11d16f0,changed user 'admin' information,262,chfn,1/10/2025 05:47,beats_input_codec_plain_applied,syslog,nF6uDYQBkgYblV-21oms,filebeat-2022.10.25,-
"Oct 25, 2022 @ 13:47:47.000",1,52da805c-83a8-4652-a8dd-ef03858f7280,41a7d681-fe17-4bed-983f-d649c4c06842,2fdfd11d16f0,filebeat,8.3.3,8.0.0,Oct 25 05:47:47 2fdfd11d16f0 chpasswd[233]: pam_unix(chpasswd:chauthtok): password changed for newuser,x86_64,TRUE,2fdfd11d16f0,d7fdfbd620d3d97fa277cdc0635761eb,"192.168.33.12, 192.168.34.12","02:42:c0:a8:21:0c, 02:42:c0:a8:22:0c",2fdfd11d16f0,focal,debian,4.15.0-58-generic,Ubuntu,ubuntu,linux,20.04.5 LTS (Focal Fossa),/var/log/auth.log,688,1,user-level,5,notice,Oct 25 05:47:47 2fdfd11d16f0 chpasswd[233]: pam_unix(chpasswd:chauthtok): password changed for newuser,"Oct 25, 2022 @ 13:47:51.725","{""hostname"":""2fdfd11d16f0"",""os"":{""kernel"":""4.15.0-58-generic"",""codename"":""focal"",""name"":""Ubuntu"",""type"":""linux"",""family"":""debian"",""version"":""20.04.5 LTS (Focal Fossa)"",""platform"":""ubuntu""},""ip"":[""192.168.33.12"",""192.168.34.12""],""containerized"":true,""name"":""2fdfd11d16f0"",""id"":""d7fdfbd620d3d97fa277cdc0635761eb"",""mac"":[""02:42:c0:a8:21:0c"",""02:42:c0:a8:22:0c""],""architecture"":""x86_64""}",2fdfd11d16f0,pam_unix(chpasswd:chauthtok): password changed for newuser,233,chpasswd,1/10/2025 05:47,beats_input_codec_plain_applied,syslog,ol6uDYQBkgYblV-21omz,filebeat-2022.10.25,-
"Oct 25, 2022 @ 13:47:47.000",1,52da805c-83a8-4652-a8dd-ef03858f7280,41a7d681-fe17-4bed-983f-d649c4c06842,2fdfd11d16f0,filebeat,8.3.3,8.0.0,"Oct 25 05:47:47 2fdfd11d16f0 useradd[243]: new user: name=admin, UID=1001, GID=1001, home=/home/admin, shell=/bin/bash, from=none",x86_64,TRUE,2fdfd11d16f0,d7fdfbd620d3d97fa277cdc0635761eb,"192.168.33.12, 192.168.34.12","02:42:c0:a8:21:0c, 02:42:c0:a8:22:0c",2fdfd11d16f0,focal,debian,4.15.0-58-generic,Ubuntu,ubuntu,linux,20.04.5 LTS (Focal Fossa),/var/log/auth.log,"1,043",1,user-level,5,notice,"Oct 25 05:47:47 2fdfd11d16f0 useradd[243]: new user: name=admin, UID=1001, GID=1001, home=/home/admin, shell=/bin/bash, from=none","Oct 25, 2022 @ 13:47:51.725","{""hostname"":""2fdfd11d16f0"",""os"":{""kernel"":""4.15.0-58-generic"",""codename"":""focal"",""name"":""Ubuntu"",""type"":""linux"",""family"":""debian"",""version"":""20.04.5 LTS (Focal Fossa)"",""platform"":""ubuntu""},""ip"":[""192.168.33.12"",""192.168.34.12""],""containerized"":true,""name"":""2fdfd11d16f0"",""id"":""d7fdfbd620d3d97fa277cdc0635761eb"",""mac"":[""02:42:c0:a8:21:0c"",""02:42:c0:a8:22:0c""],""architecture"":""x86_64""}",2fdfd11d16f0,"new user: name=admin, UID=1001, GID=1001, home=/home/admin, shell=/bin/bash, from=none",243,useradd,1/10/2025 05:47,beats_input_codec_plain_applied,syslog,o16uDYQBkgYblV-21omz,filebeat-2022.10.25,-
"Oct 25, 2022 @ 13:47:47.000",1,52da805c-83a8-4652-a8dd-ef03858f7280,41a7d681-fe17-4bed-983f-d649c4c06842,2fdfd11d16f0,filebeat,8.3.3,8.0.0,Oct 25 05:47:47 2fdfd11d16f0 chfn[226]: changed user 'newuser' information,x86_64,TRUE,2fdfd11d16f0,d7fdfbd620d3d97fa277cdc0635761eb,"192.168.33.12, 192.168.34.12","02:42:c0:a8:21:0c, 02:42:c0:a8:22:0c",2fdfd11d16f0,focal,debian,4.15.0-58-generic,Ubuntu,ubuntu,linux,20.04.5 LTS (Focal Fossa),/var/log/auth.log,613,1,user-level,5,notice,Oct 25 05:47:47 2fdfd11d16f0 chfn[226]: changed user 'newuser' information,"Oct 25, 2022 @ 13:47:51.725","{""hostname"":""2fdfd11d16f0"",""os"":{""kernel"":""4.15.0-58-generic"",""codename"":""focal"",""name"":""Ubuntu"",""type"":""linux"",""family"":""debian"",""version"":""20.04.5 LTS (Focal Fossa)"",""platform"":""ubuntu""},""ip"":[""192.168.33.12"",""192.168.34.12""],""containerized"":true,""name"":""2fdfd11d16f0"",""id"":""d7fdfbd620d3d97fa277cdc0635761eb"",""mac"":[""02:42:c0:a8:21:0c"",""02:42:c0:a8:22:0c""],""architecture"":""x86_64""}",2fdfd11d16f0,changed user 'newuser' information,226,chfn,1/10/2025 05:47,beats_input_codec_plain_applied,syslog,pV6uDYQBkgYblV-21om7,filebeat-2022.10.25,-
"Oct 25, 2022 @ 13:47:47.000",1,52da805c-83a8-4652-a8dd-ef03858f7280,41a7d681-fe17-4bed-983f-d649c4c06842,2fdfd11d16f0,filebeat,8.3.3,8.0.0,"Oct 25 05:47:47 2fdfd11d16f0 groupadd[237]: new group: name=admin, GID=1001",x86_64,TRUE,2fdfd11d16f0,d7fdfbd620d3d97fa277cdc0635761eb,"192.168.33.12, 192.168.34.12","02:42:c0:a8:21:0c, 02:42:c0:a8:22:0c",2fdfd11d16f0,focal,debian,4.15.0-58-generic,Ubuntu,ubuntu,linux,20.04.5 LTS (Focal Fossa),/var/log/auth.log,967,1,user-level,5,notice,"Oct 25 05:47:47 2fdfd11d16f0 groupadd[237]: new group: name=admin, GID=1001","Oct 25, 2022 @ 13:47:51.725","{""hostname"":""2fdfd11d16f0"",""os"":{""kernel"":""4.15.0-58-generic"",""codename"":""focal"",""name"":""Ubuntu"",""type"":""linux"",""family"":""debian"",""version"":""20.04.5 LTS (Focal Fossa)"",""platform"":""ubuntu""},""ip"":[""192.168.33.12"",""192.168.34.12""],""containerized"":true,""name"":""2fdfd11d16f0"",""id"":""d7fdfbd620d3d97fa277cdc0635761eb"",""mac"":[""02:42:c0:a8:21:0c"",""02:42:c0:a8:22:0c""],""architecture"":""x86_64""}",2fdfd11d16f0,"new group: name=admin, GID=1001",237,groupadd,1/10/2025 05:47,beats_input_codec_plain_applied,syslog,pl6uDYQBkgYblV-21om7,filebeat-2022.10.25,-
"Oct 25, 2022 @ 13:47:47.000",1,52da805c-83a8-4652-a8dd-ef03858f7280,41a7d681-fe17-4bed-983f-d649c4c06842,2fdfd11d16f0,filebeat,8.3.3,8.0.0,Oct 25 05:47:47 2fdfd11d16f0 chpasswd[269]: pam_unix(chpasswd:chauthtok): password changed for admin,x86_64,TRUE,2fdfd11d16f0,d7fdfbd620d3d97fa277cdc0635761eb,"192.168.33.12, 192.168.34.12","02:42:c0:a8:21:0c, 02:42:c0:a8:22:0c",2fdfd11d16f0,focal,debian,4.15.0-58-generic,Ubuntu,ubuntu,linux,20.04.5 LTS (Focal Fossa),/var/log/auth.log,"1,318",1,user-level,5,notice,Oct 25 05:47:47 2fdfd11d16f0 chpasswd[269]: pam_unix(chpasswd:chauthtok): password changed for admin,"Oct 25, 2022 @ 13:47:51.725","{""hostname"":""2fdfd11d16f0"",""os"":{""kernel"":""4.15.0-58-generic"",""codename"":""focal"",""name"":""Ubuntu"",""type"":""linux"",""family"":""debian"",""version"":""20.04.5 LTS (Focal Fossa)"",""platform"":""ubuntu""},""ip"":[""192.168.33.12"",""192.168.34.12""],""containerized"":true,""name"":""2fdfd11d16f0"",""id"":""d7fdfbd620d3d97fa277cdc0635761eb"",""mac"":[""02:42:c0:a8:21:0c"",""02:42:c0:a8:22:0c""],""architecture"":""x86_64""}",2fdfd11d16f0,pam_unix(chpasswd:chauthtok): password changed for admin,269,chpasswd,1/10/2025 05:47,beats_input_codec_plain_applied,syslog,p16uDYQBkgYblV-21om7,filebeat-2022.10.25,-
"Oct 25, 2022 @ 13:47:46.000",1,52da805c-83a8-4652-a8dd-ef03858f7280,41a7d681-fe17-4bed-983f-d649c4c06842,2fdfd11d16f0,filebeat,8.3.3,8.0.0,"Oct 25 05:47:46 2fdfd11d16f0 useradd[207]: new user: name=newuser, UID=1000, GID=1000, home=/home/newuser, shell=/bin/bash, from=none",x86_64,TRUE,2fdfd11d16f0,d7fdfbd620d3d97fa277cdc0635761eb,"192.168.33.12, 192.168.34.12","02:42:c0:a8:21:0c, 02:42:c0:a8:22:0c",2fdfd11d16f0,focal,debian,4.15.0-58-generic,Ubuntu,ubuntu,linux,20.04.5 LTS (Focal Fossa),/var/log/auth.log,405,1,user-level,5,notice,"Oct 25 05:47:46 2fdfd11d16f0 useradd[207]: new user: name=newuser, UID=1000, GID=1000, home=/home/newuser, shell=/bin/bash, from=none","Oct 25, 2022 @ 13:47:51.725","{""hostname"":""2fdfd11d16f0"",""os"":{""kernel"":""4.15.0-58-generic"",""codename"":""focal"",""name"":""Ubuntu"",""type"":""linux"",""family"":""debian"",""version"":""20.04.5 LTS (Focal Fossa)"",""platform"":""ubuntu""},""ip"":[""192.168.33.12"",""192.168.34.12""],""containerized"":true,""name"":""2fdfd11d16f0"",""id"":""d7fdfbd620d3d97fa277cdc0635761eb"",""mac"":[""02:42:c0:a8:21:0c"",""02:42:c0:a8:22:0c""],""architecture"":""x86_64""}",2fdfd11d16f0,"new user: name=newuser, UID=1000, GID=1000, home=/home/newuser, shell=/bin/bash, from=none",207,useradd,1/10/2025 05:47,beats_input_codec_plain_applied,syslog,nl6uDYQBkgYblV-21oms,filebeat-2022.10.25,-
