"@timestamp","event.original","agent.hostname","log.file.path"
"Oct 26, 2022 @ 02:55:05.006","Oct 25 18:55:01 Web_Server CRON[20483]: pam_unix(cron:session): session opened for user root by (uid=0)","Web_Server","/var/log/auth.log"
"Oct 26, 2022 @ 02:55:05.006","Oct 25 18:55:01 Web_Server CRON[20483]: pam_env(cron:session): Unable to open env file: /etc/default/locale: No such file or directory","Web_Server","/var/log/auth.log"
"Oct 26, 2022 @ 02:54:49.896","Oct 25 18:54:48 Web_Server sudo:     root : TTY=pts/0 ; PWD=/root ; USER=root ; COMMAND=/bin/su","Web_Server","/var/log/auth.log"
"Oct 26, 2022 @ 02:54:49.896","Oct 25 18:54:48 Web_Server sudo: pam_env(sudo:session): Unable to open env file: /etc/default/locale: No such file or directory","Web_Server","/var/log/auth.log"
"Oct 26, 2022 @ 02:54:49.896","Oct 25 18:54:48 Web_Server sudo: pam_unix(sudo:session): session opened for user root by hacker(uid=0)","Web_Server","/var/log/auth.log"
"Oct 26, 2022 @ 02:54:49.896","Oct 25 18:54:49 Web_Server su[20404]: Successful su for root by root","Web_Server","/var/log/auth.log"
"Oct 26, 2022 @ 02:54:49.896","Oct 25 18:54:49 Web_Server su[20404]: + /dev/pts/0 root:root","Web_Server","/var/log/auth.log"
"Oct 26, 2022 @ 02:54:49.896","Oct 25 18:54:49 Web_Server su[20404]: pam_env(su:session): Unable to open env file: /etc/default/locale: No such file or directory","Web_Server","/var/log/auth.log"
"Oct 26, 2022 @ 02:54:49.896","Oct 25 18:54:49 Web_Server su[20404]: pam_unix(su:session): session opened for user root by hacker(uid=0)","Web_Server","/var/log/auth.log"
"Oct 26, 2022 @ 02:54:42.895","Oct 25 18:54:40 Web_Server sshd[20297]: pam_env(sshd:session): Unable to open env file: /etc/default/locale: No such file or directory","Web_Server","/var/log/auth.log"
"Oct 26, 2022 @ 02:54:39.894","Oct 25 18:54:39 Web_Server sshd[20297]: pam_unix(sshd:session): session opened for user hacker by (uid=0)","Web_Server","/var/log/auth.log"
"Oct 26, 2022 @ 02:54:39.894","Oct 25 18:54:39 Web_Server sshd[20297]: Accepted password for hacker from 172.24.2.11 port 41052 ssh2","Web_Server","/var/log/auth.log"
"Oct 26, 2022 @ 02:54:38.892","Oct 25 18:54:29 Web_Server sshd[20260]: fatal: ssh_dispatch_run_fatal: Connection from 172.24.2.11 port 41038: Broken pipe [preauth]","Web_Server","/var/log/auth.log"
"Oct 26, 2022 @ 02:54:03.885","Oct 25 18:54:01 Web_Server CRON[20061]: pam_env(cron:session): Unable to open env file: /etc/default/locale: No such file or directory","Web_Server","/var/log/auth.log"
"Oct 26, 2022 @ 02:54:03.885","Oct 25 18:54:01 Web_Server CRON[20061]: pam_unix(cron:session): session opened for user root by (uid=0)","Web_Server","/var/log/auth.log"
"Oct 26, 2022 @ 02:53:08.875","Oct 25 18:53:01 Web_Server CRON[19426]: pam_env(cron:session): Unable to open env file: /etc/default/locale: No such file or directory","Web_Server","/var/log/auth.log"
"Oct 26, 2022 @ 02:53:08.875","Oct 25 18:53:01 Web_Server CRON[19426]: pam_unix(cron:session): session opened for user root by (uid=0)","Web_Server","/var/log/auth.log"
"Oct 26, 2022 @ 02:52:03.269","Oct 25 18:52:01 Web_Server CRON[18942]: pam_env(cron:session): Unable to open env file: /etc/default/locale: No such file or directory","Web_Server","/var/log/auth.log"
"Oct 26, 2022 @ 02:52:03.269","Oct 25 18:52:01 Web_Server CRON[18942]: pam_unix(cron:session): session opened for user root by (uid=0)","Web_Server","/var/log/auth.log"
"Oct 26, 2022 @ 02:51:08.260","Oct 25 18:51:01 Web_Server CRON[18561]: pam_env(cron:session): Unable to open env file: /etc/default/locale: No such file or directory","Web_Server","/var/log/auth.log"
"Oct 26, 2022 @ 02:51:08.260","Oct 25 18:51:01 Web_Server CRON[18561]: pam_unix(cron:session): session opened for user root by (uid=0)","Web_Server","/var/log/auth.log"
"Oct 26, 2022 @ 02:50:03.250","Oct 25 18:50:01 Web_Server CRON[18236]: pam_env(cron:session): Unable to open env file: /etc/default/locale: No such file or directory","Web_Server","/var/log/auth.log"
"Oct 26, 2022 @ 02:50:03.250","Oct 25 18:50:01 Web_Server CRON[18236]: pam_unix(cron:session): session opened for user root by (uid=0)","Web_Server","/var/log/auth.log"
