"@timestamp","mysql.slowlog.schema","mysql.slowlog.query","log.file.path"
"Oct 26, 2022 @ 02:35:17.000","clinic_db","select * from manage_website;","/var/log/mysql/mariadb-slow.log"
"Oct 26, 2022 @ 02:35:17.000","clinic_db","# administrator command: Quit;","/var/log/mysql/mariadb-slow.log"
"Oct 26, 2022 @ 02:35:17.000","clinic_db","select * from manage_website;","/var/log/mysql/mariadb-slow.log"
"Oct 26, 2022 @ 02:35:17.000","clinic_db","# administrator command: Quit;","/var/log/mysql/mariadb-slow.log"
"Oct 26, 2022 @ 02:35:17.000","clinic_db","select * from admin where id = '1';","/var/log/mysql/mariadb-slow.log"
"Oct 26, 2022 @ 02:35:17.000","clinic_db","# administrator command: Quit;","/var/log/mysql/mariadb-slow.log"
"Oct 26, 2022 @ 02:35:17.000","clinic_db","UPDATE `manage_website` SET `title`='logo for hospital system.jpg',`short_title`='',`logo`='shell.php',`footer`='' ,`currency_code`= '',`currency_symbol`= '',`login_logo`='',`invoice_logo`='' , `background_login_image` = '';","/var/log/mysql/mariadb-slow.log"
"Oct 26, 2022 @ 02:35:17.000","clinic_db","select * from manage_website;","/var/log/mysql/mariadb-slow.log"
"Oct 26, 2022 @ 02:35:17.000","clinic_db","# administrator command: Quit;","/var/log/mysql/mariadb-slow.log"
"Oct 26, 2022 @ 02:35:16.000","clinic_db","# administrator command: Quit;","/var/log/mysql/mariadb-slow.log"
"Oct 26, 2022 @ 02:35:16.000","clinic_db","select * from manage_website;","/var/log/mysql/mariadb-slow.log"
"Oct 26, 2022 @ 02:35:16.000","clinic_db","# administrator command: Quit;","/var/log/mysql/mariadb-slow.log"
"Oct 26, 2022 @ 02:35:15.000","clinic_db","SELECT * FROM admin WHERE loginid=''=''or'' and password = 'bfb24fd89850a67d73a5b89a226b8603febf6f3c2132fcdb75b935b19c8de56f';","/var/log/mysql/mariadb-slow.log"
"Oct 26, 2022 @ 02:35:15.000","clinic_db","select * from manage_website;","/var/log/mysql/mariadb-slow.log"
"Oct 26, 2022 @ 02:35:15.000","clinic_db","# administrator command: Quit;","/var/log/mysql/mariadb-slow.log"
"Oct 26, 2022 @ 02:35:15.000","clinic_db","select * from manage_website;","/var/log/mysql/mariadb-slow.log"
"Oct 26, 2022 @ 02:35:15.000","clinic_db","# administrator command: Quit;","/var/log/mysql/mariadb-slow.log"
"Oct 26, 2022 @ 02:35:15.000","clinic_db","select * from manage_website;","/var/log/mysql/mariadb-slow.log"
"Oct 26, 2022 @ 02:35:15.000","clinic_db","# administrator command: Quit;","/var/log/mysql/mariadb-slow.log"
"Oct 26, 2022 @ 02:35:15.000","clinic_db","select * from admin where id = '1';","/var/log/mysql/mariadb-slow.log"
