"@timestamp","_id","_index","_score","agent.ephemeral_id","agent.hostname","agent.id","agent.name","agent.type","agent.version","ecs.version","fields.apache","host.architecture","host.containerized","host.hostname","host.ip","host.mac","host.name","host.os.codename","host.os.family","host.os.kernel","host.os.name","host.os.name.text","host.os.platform","host.os.type","host.os.version","input.type","log.file.path","log.offset",message
"Oct 26, 2022 @ 02:54:10.109","33B-EIQBIBAo7axPuJ2n",".ds-filebeat-8.4.3-2022.10.25-000001","-","6343ae4e-0ee5-43d9-9891-576b2b8f9653","Web_Server","50e17b80-cb5c-4305-8a01-dd532eb63d4f","Web_Server",filebeat,"8.4.3","8.0.0",true,"x86_64",true,"Web_Server","172.24.2.100","02:42:ac:18:02:64","Web_Server",xenial,debian,"4.15.0-58-generic",Ubuntu,Ubuntu,ubuntu,linux,"16.04.6 LTS (Xenial Xerus)",filestream,"/var/log/apache2/access.log","1,858,999","127.0.0.1 - - [25/Oct/2022:18:54:02 +0000] ""OPTIONS * HTTP/1.0"" 200 126 ""-"" ""Apache/2.4.18 (Ubuntu) (internal dummy connection)"""
"Oct 26, 2022 @ 02:53:56.107","2HB-EIQBIBAo7axPg51w",".ds-filebeat-8.4.3-2022.10.25-000001","-","6343ae4e-0ee5-43d9-9891-576b2b8f9653","Web_Server","50e17b80-cb5c-4305-8a01-dd532eb63d4f","Web_Server",filebeat,"8.4.3","8.0.0",true,"x86_64",true,"Web_Server","172.24.2.100","02:42:ac:18:02:64","Web_Server",xenial,debian,"4.15.0-58-generic",Ubuntu,Ubuntu,ubuntu,linux,"16.04.6 LTS (Xenial Xerus)",filestream,"/var/log/apache2/access.log","1,858,729","192.168.1.7 - - [25/Oct/2022:18:53:54 +0000] ""GET /files/assets/images/auth/bg.jpg HTTP/1.1"" 404 493 ""http://192.168.1.213:8000/files/assets/css/style.css"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36"""
"Oct 26, 2022 @ 02:53:56.107","13B-EIQBIBAo7axPg51w",".ds-filebeat-8.4.3-2022.10.25-000001","-","6343ae4e-0ee5-43d9-9891-576b2b8f9653","Web_Server","50e17b80-cb5c-4305-8a01-dd532eb63d4f","Web_Server",filebeat,"8.4.3","8.0.0",true,"x86_64",true,"Web_Server","172.24.2.100","02:42:ac:18:02:64","Web_Server",xenial,debian,"4.15.0-58-generic",Ubuntu,Ubuntu,ubuntu,linux,"16.04.6 LTS (Xenial Xerus)",filestream,"/var/log/apache2/access.log","1,858,459","192.168.1.7 - - [25/Oct/2022:18:53:54 +0000] ""GET /files/bower_components/modernizr/js/modernizr.js HTTP/1.1"" 404 493 ""http://192.168.1.213:8000/login.php"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36"""
"Oct 26, 2022 @ 02:53:56.107","1nB-EIQBIBAo7axPg51w",".ds-filebeat-8.4.3-2022.10.25-000001","-","6343ae4e-0ee5-43d9-9891-576b2b8f9653","Web_Server","50e17b80-cb5c-4305-8a01-dd532eb63d4f","Web_Server",filebeat,"8.4.3","8.0.0",true,"x86_64",true,"Web_Server","172.24.2.100","02:42:ac:18:02:64","Web_Server",xenial,debian,"4.15.0-58-generic",Ubuntu,Ubuntu,ubuntu,linux,"16.04.6 LTS (Xenial Xerus)",filestream,"/var/log/apache2/access.log","1,858,167","192.168.1.7 - - [25/Oct/2022:18:53:54 +0000] ""GET /files/bower_components/i18next-xhr-backend/js/i18nextXHRBackend.min.js HTTP/1.1"" 404 493 ""http://192.168.1.213:8000/login.php"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36"""
"Oct 26, 2022 @ 02:53:56.107","1XB-EIQBIBAo7axPg51w",".ds-filebeat-8.4.3-2022.10.25-000001","-","6343ae4e-0ee5-43d9-9891-576b2b8f9653","Web_Server","50e17b80-cb5c-4305-8a01-dd532eb63d4f","Web_Server",filebeat,"8.4.3","8.0.0",true,"x86_64",true,"Web_Server","172.24.2.100","02:42:ac:18:02:64","Web_Server",xenial,debian,"4.15.0-58-generic",Ubuntu,Ubuntu,ubuntu,linux,"16.04.6 LTS (Xenial Xerus)",filestream,"/var/log/apache2/access.log","1,857,849","192.168.1.7 - - [25/Oct/2022:18:53:54 +0000] ""GET /files/bower_components/i18next-browser-languagedetector/js/i18nextBrowserLanguageDetector.min.js HTTP/1.1"" 404 493 ""http://192.168.1.213:8000/login.php"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36"""
"Oct 26, 2022 @ 02:53:56.106","1HB-EIQBIBAo7axPg51w",".ds-filebeat-8.4.3-2022.10.25-000001","-","6343ae4e-0ee5-43d9-9891-576b2b8f9653","Web_Server","50e17b80-cb5c-4305-8a01-dd532eb63d4f","Web_Server",filebeat,"8.4.3","8.0.0",true,"x86_64",true,"Web_Server","172.24.2.100","02:42:ac:18:02:64","Web_Server",xenial,debian,"4.15.0-58-generic",Ubuntu,Ubuntu,ubuntu,linux,"16.04.6 LTS (Xenial Xerus)",filestream,"/var/log/apache2/access.log","1,857,579","192.168.1.7 - - [25/Oct/2022:18:53:54 +0000] ""GET /files/bower_components/i18next/js/i18next.min.js HTTP/1.1"" 404 493 ""http://192.168.1.213:8000/login.php"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36"""
"Oct 26, 2022 @ 02:53:56.106","03B-EIQBIBAo7axPg51w",".ds-filebeat-8.4.3-2022.10.25-000001","-","6343ae4e-0ee5-43d9-9891-576b2b8f9653","Web_Server","50e17b80-cb5c-4305-8a01-dd532eb63d4f","Web_Server",filebeat,"8.4.3","8.0.0",true,"x86_64",true,"Web_Server","172.24.2.100","02:42:ac:18:02:64","Web_Server",xenial,debian,"4.15.0-58-generic",Ubuntu,Ubuntu,ubuntu,linux,"16.04.6 LTS (Xenial Xerus)",filestream,"/var/log/apache2/access.log","1,857,304","192.168.1.7 - - [25/Oct/2022:18:53:54 +0000] ""GET /files/bower_components/modernizr/js/css-scrollbars.js HTTP/1.1"" 404 493 ""http://192.168.1.213:8000/login.php"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36"""
"Oct 26, 2022 @ 02:53:56.106","0nB-EIQBIBAo7axPg51w",".ds-filebeat-8.4.3-2022.10.25-000001","-","6343ae4e-0ee5-43d9-9891-576b2b8f9653","Web_Server","50e17b80-cb5c-4305-8a01-dd532eb63d4f","Web_Server",filebeat,"8.4.3","8.0.0",true,"x86_64",true,"Web_Server","172.24.2.100","02:42:ac:18:02:64","Web_Server",xenial,debian,"4.15.0-58-generic",Ubuntu,Ubuntu,ubuntu,linux,"16.04.6 LTS (Xenial Xerus)",filestream,"/var/log/apache2/access.log","1,857,106","192.168.1.7 - - [25/Oct/2022:18:53:54 +0000] ""GET /login.php HTTP/1.1"" 200 1424 ""-"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36"""
"Oct 26, 2022 @ 02:53:54.106","0XB-EIQBIBAo7axPep0l",".ds-filebeat-8.4.3-2022.10.25-000001","-","6343ae4e-0ee5-43d9-9891-576b2b8f9653","Web_Server","50e17b80-cb5c-4305-8a01-dd532eb63d4f","Web_Server",filebeat,"8.4.3","8.0.0",true,"x86_64",true,"Web_Server","172.24.2.100","02:42:ac:18:02:64","Web_Server",xenial,debian,"4.15.0-58-generic",Ubuntu,Ubuntu,ubuntu,linux,"16.04.6 LTS (Xenial Xerus)",filestream,"/var/log/apache2/access.log","1,856,836","192.168.1.7 - - [25/Oct/2022:18:53:52 +0000] ""GET /files/assets/images/auth/bg.jpg HTTP/1.1"" 404 493 ""http://192.168.1.213:8000/files/assets/css/style.css"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36"""
"Oct 26, 2022 @ 02:53:54.106","0HB-EIQBIBAo7axPep0l",".ds-filebeat-8.4.3-2022.10.25-000001","-","6343ae4e-0ee5-43d9-9891-576b2b8f9653","Web_Server","50e17b80-cb5c-4305-8a01-dd532eb63d4f","Web_Server",filebeat,"8.4.3","8.0.0",true,"x86_64",true,"Web_Server","172.24.2.100","02:42:ac:18:02:64","Web_Server",xenial,debian,"4.15.0-58-generic",Ubuntu,Ubuntu,ubuntu,linux,"16.04.6 LTS (Xenial Xerus)",filestream,"/var/log/apache2/access.log","1,856,566","192.168.1.7 - - [25/Oct/2022:18:53:52 +0000] ""GET /files/bower_components/modernizr/js/modernizr.js HTTP/1.1"" 404 493 ""http://192.168.1.213:8000/login.php"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36"""
