"@timestamp","_id","_index","_score","agent.ephemeral_id","agent.hostname","agent.id","agent.name","agent.type","agent.version","ecs.version","event.category","event.dataset","event.duration","event.ingested","event.kind","event.module","event.type","fileset.name","host.architecture","host.containerized","host.hostname","host.id","host.ip","host.mac","host.name","host.os.codename","host.os.family","host.os.kernel","host.os.name","host.os.name.text","host.os.platform","host.os.type","host.os.version","input.type","log.file.path","log.flags","log.offset","mysql.slowlog.bytes_sent","mysql.slowlog.current_user","mysql.slowlog.lock_time.sec","mysql.slowlog.query","mysql.slowlog.query_cache_hit","mysql.slowlog.rows_affected","mysql.slowlog.rows_examined","mysql.slowlog.rows_sent","mysql.slowlog.schema","mysql.thread_id","service.type","source.ip","user.name","user.name.text"
"Oct 26, 2022 @ 02:53:54.000","3XB-EIQBIBAo7axPoJ13",".ds-filebeat-8.4.3-2022.10.25-000001","-","25f8cda4-feb7-4fd5-b4b6-77b5872b6564",db,"a9d89fec-9323-4869-9180-ff19706f40a3",db,filebeat,"8.4.3","1.12.0",database,"mysql.slowlog","0.0","Oct 26, 2022 @ 02:54:04.918",event,mysql,info,slowlog,"x86_64",true,db,ef68970c3d6d498f830fac13168b3608,"172.24.2.101","02:42:ac:18:02:65",db,bionic,debian,"4.15.0-58-generic",Ubuntu,Ubuntu,ubuntu,linux,"18.04.5 LTS (Bionic Beaver)",log,"/var/log/mysql/mariadb-slow.log",multiline,"7,711,425",0B,root,0,"# administrator command: Quit;",false,0,0,0,"clinic_db",402,mysql,"172.24.2.100",root,root
"Oct 26, 2022 @ 02:53:40.000","tXB-EIQBIBAo7axPUp3N",".ds-filebeat-8.4.3-2022.10.25-000001","-","25f8cda4-feb7-4fd5-b4b6-77b5872b6564",db,"a9d89fec-9323-4869-9180-ff19706f40a3",db,filebeat,"8.4.3","1.12.0",database,"mysql.slowlog","0.1","Oct 26, 2022 @ 02:53:45.036",event,mysql,info,slowlog,"x86_64",true,db,ef68970c3d6d498f830fac13168b3608,"172.24.2.101","02:42:ac:18:02:65",db,bionic,debian,"4.15.0-58-generic",Ubuntu,Ubuntu,ubuntu,linux,"18.04.5 LTS (Bionic Beaver)",log,"/var/log/mysql/mariadb-slow.log",multiline,"7,710,083","1.1KB",root,0,"select * from manage_website;",true,0,0,1,"clinic_db",400,mysql,"172.24.2.100",root,root
"Oct 26, 2022 @ 02:53:54.000","23B-EIQBIBAo7axPjJ3w",".ds-filebeat-8.4.3-2022.10.25-000001","-","25f8cda4-feb7-4fd5-b4b6-77b5872b6564",db,"a9d89fec-9323-4869-9180-ff19706f40a3",db,filebeat,"8.4.3","1.12.0",database,"mysql.slowlog","0.1","Oct 26, 2022 @ 02:53:59.919",event,mysql,info,slowlog,"x86_64",true,db,ef68970c3d6d498f830fac13168b3608,"172.24.2.101","02:42:ac:18:02:65",db,bionic,debian,"4.15.0-58-generic",Ubuntu,Ubuntu,ubuntu,linux,"18.04.5 LTS (Bionic Beaver)",log,"/var/log/mysql/mariadb-slow.log",multiline,"7,711,165","1.1KB",root,0,"select * from manage_website;",true,0,0,1,"clinic_db",402,mysql,"172.24.2.100",root,root
"Oct 26, 2022 @ 02:53:52.000","2nB-EIQBIBAo7axPjJ3w",".ds-filebeat-8.4.3-2022.10.25-000001","-","25f8cda4-feb7-4fd5-b4b6-77b5872b6564",db,"a9d89fec-9323-4869-9180-ff19706f40a3",db,filebeat,"8.4.3","1.12.0",database,"mysql.slowlog","0.0","Oct 26, 2022 @ 02:53:59.919",event,mysql,info,slowlog,"x86_64",true,db,ef68970c3d6d498f830fac13168b3608,"172.24.2.101","02:42:ac:18:02:65",db,bionic,debian,"4.15.0-58-generic",Ubuntu,Ubuntu,ubuntu,linux,"18.04.5 LTS (Bionic Beaver)",log,"/var/log/mysql/mariadb-slow.log",multiline,"7,710,884",0B,root,0,"# administrator command: Quit;",false,0,0,0,"clinic_db",401,mysql,"172.24.2.100",root,root
"Oct 26, 2022 @ 02:53:52.000","2XB-EIQBIBAo7axPjJ3w",".ds-filebeat-8.4.3-2022.10.25-000001","-","25f8cda4-feb7-4fd5-b4b6-77b5872b6564",db,"a9d89fec-9323-4869-9180-ff19706f40a3",db,filebeat,"8.4.3","1.12.0",database,"mysql.slowlog","0.1","Oct 26, 2022 @ 02:53:59.919",event,mysql,info,slowlog,"x86_64",true,db,ef68970c3d6d498f830fac13168b3608,"172.24.2.101","02:42:ac:18:02:65",db,bionic,debian,"4.15.0-58-generic",Ubuntu,Ubuntu,ubuntu,linux,"18.04.5 LTS (Bionic Beaver)",log,"/var/log/mysql/mariadb-slow.log",multiline,"7,710,624","1.1KB",root,0,"select * from manage_website;",true,0,0,1,"clinic_db",401,mysql,"172.24.2.100",root,root
"Oct 26, 2022 @ 02:53:40.000","ynB-EIQBIBAo7axPZZ3c",".ds-filebeat-8.4.3-2022.10.25-000001","-","25f8cda4-feb7-4fd5-b4b6-77b5872b6564",db,"a9d89fec-9323-4869-9180-ff19706f40a3",db,filebeat,"8.4.3","1.12.0",database,"mysql.slowlog","0.0","Oct 26, 2022 @ 02:53:49.916",event,mysql,info,slowlog,"x86_64",true,db,ef68970c3d6d498f830fac13168b3608,"172.24.2.101","02:42:ac:18:02:65",db,bionic,debian,"4.15.0-58-generic",Ubuntu,Ubuntu,ubuntu,linux,"18.04.5 LTS (Bionic Beaver)",log,"/var/log/mysql/mariadb-slow.log",multiline,"7,710,343",0B,root,0,"# administrator command: Quit;",false,0,0,0,"clinic_db",400,mysql,"172.24.2.100",root,root
"Oct 26, 2022 @ 02:35:17.000",bnBtEIQBIBAo7axPnJ14,".ds-filebeat-8.4.3-2022.10.25-000001","-","25f8cda4-feb7-4fd5-b4b6-77b5872b6564",db,"a9d89fec-9323-4869-9180-ff19706f40a3",db,filebeat,"8.4.3","1.12.0",database,"mysql.slowlog","0.0","Oct 26, 2022 @ 02:35:29.783",event,mysql,info,slowlog,"x86_64",true,db,ef68970c3d6d498f830fac13168b3608,"172.24.2.101","02:42:ac:18:02:65",db,bionic,debian,"4.15.0-58-generic",Ubuntu,Ubuntu,ubuntu,linux,"18.04.5 LTS (Bionic Beaver)",log,"/var/log/mysql/mariadb-slow.log",multiline,"7,709,802",0B,root,0,"# administrator command: Quit;",false,0,0,0,"clinic_db",399,mysql,"172.24.2.100",root,root
"Oct 26, 2022 @ 02:35:17.000",bXBtEIQBIBAo7axPiZ0L,".ds-filebeat-8.4.3-2022.10.25-000001","-","25f8cda4-feb7-4fd5-b4b6-77b5872b6564",db,"a9d89fec-9323-4869-9180-ff19706f40a3",db,filebeat,"8.4.3","1.12.0",database,"mysql.slowlog","0.1","Oct 26, 2022 @ 02:35:24.811",event,mysql,info,slowlog,"x86_64",true,db,ef68970c3d6d498f830fac13168b3608,"172.24.2.101","02:42:ac:18:02:65",db,bionic,debian,"4.15.0-58-generic",Ubuntu,Ubuntu,ubuntu,linux,"18.04.5 LTS (Bionic Beaver)",log,"/var/log/mysql/mariadb-slow.log",multiline,"7,709,542","1.1KB",root,0,"select * from manage_website;",true,0,0,1,"clinic_db",399,mysql,"172.24.2.100",root,root
"Oct 26, 2022 @ 02:35:17.000",bHBtEIQBIBAo7axPiZ0L,".ds-filebeat-8.4.3-2022.10.25-000001","-","25f8cda4-feb7-4fd5-b4b6-77b5872b6564",db,"a9d89fec-9323-4869-9180-ff19706f40a3",db,filebeat,"8.4.3","1.12.0",database,"mysql.slowlog","0.2","Oct 26, 2022 @ 02:35:24.811",event,mysql,info,slowlog,"x86_64",true,db,ef68970c3d6d498f830fac13168b3608,"172.24.2.101","02:42:ac:18:02:65",db,bionic,debian,"4.15.0-58-generic",Ubuntu,Ubuntu,ubuntu,linux,"18.04.5 LTS (Bionic Beaver)",log,"/var/log/mysql/mariadb-slow.log",multiline,"7,709,090",51B,root,0,"UPDATE `manage_website` SET `title`='logo for hospital system.jpg',`short_title`='',`logo`='shell.php',`footer`='' ,`currency_code`= '',`currency_symbol`= '',`login_logo`='',`invoice_logo`='' , `background_login_image` = '';",false,0,0,0,"clinic_db",399,mysql,"172.24.2.100",root,root
"Oct 26, 2022 @ 02:35:17.000",a3BtEIQBIBAo7axPiZ0L,".ds-filebeat-8.4.3-2022.10.25-000001","-","25f8cda4-feb7-4fd5-b4b6-77b5872b6564",db,"a9d89fec-9323-4869-9180-ff19706f40a3",db,filebeat,"8.4.3","1.12.0",database,"mysql.slowlog","0.0","Oct 26, 2022 @ 02:35:24.811",event,mysql,info,slowlog,"x86_64",true,db,ef68970c3d6d498f830fac13168b3608,"172.24.2.101","02:42:ac:18:02:65",db,bionic,debian,"4.15.0-58-generic",Ubuntu,Ubuntu,ubuntu,linux,"18.04.5 LTS (Bionic Beaver)",log,"/var/log/mysql/mariadb-slow.log",multiline,"7,708,833",0B,root,0,"# administrator command: Quit;",false,0,0,0,"clinic_db",398,mysql,"172.24.2.100",root,root
