"@timestamp","_id","_index","_score","agent.ephemeral_id","agent.hostname","agent.id","agent.name","agent.type","agent.version","ecs.version","error.message","event.dataset","event.ingested","event.module","event.original","event.timezone","fileset.name","host.architecture","host.containerized","host.hostname","host.ip","host.mac","host.name","host.os.codename","host.os.family","host.os.kernel","host.os.name","host.os.name.text","host.os.platform","host.os.type","host.os.version","input.type","log.file.path","log.offset","service.type"
"Oct 26, 2022 @ 03:00:10.150","_HCEEIQBIBAo7axPSp2b",".ds-filebeat-8.4.3-2022.10.25-000001","-","6343ae4e-0ee5-43d9-9891-576b2b8f9653","Web_Server","50e17b80-cb5c-4305-8a01-dd532eb63d4f","Web_Server",filebeat,"8.4.3","8.0.0","Provided Grok expressions do not match field value: [Oct 25 19:00:01 Web_Server CRON[22378]: pam_unix(cron:session): session opened for user root by (uid=0)]","system.auth","Oct 26, 2022 @ 03:00:16.154",system,"Oct 25 19:00:01 Web_Server CRON[22378]: pam_unix(cron:session): session opened for user root by (uid=0)","+00:00",auth,"x86_64",true,"Web_Server","172.24.2.100","02:42:ac:18:02:64","Web_Server",xenial,debian,"4.15.0-58-generic",Ubuntu,Ubuntu,ubuntu,linux,"16.04.6 LTS (Xenial Xerus)",log,"/var/log/auth.log","38,815",system
"Oct 26, 2022 @ 02:57:05.032",8nCBEIQBIBAo7axPY530,".ds-filebeat-8.4.3-2022.10.25-000001","-","6343ae4e-0ee5-43d9-9891-576b2b8f9653","Web_Server","50e17b80-cb5c-4305-8a01-dd532eb63d4f","Web_Server",filebeat,"8.4.3","8.0.0","Provided Grok expressions do not match field value: [Oct 25 18:57:01 Web_Server CRON[21245]: pam_env(cron:session): Unable to open env file: /etc/default/locale: No such file or directory]","system.auth","Oct 26, 2022 @ 02:57:06.035",system,"Oct 25 18:57:01 Web_Server CRON[21245]: pam_env(cron:session): Unable to open env file: /etc/default/locale: No such file or directory","+00:00",auth,"x86_64",true,"Web_Server","172.24.2.100","02:42:ac:18:02:64","Web_Server",xenial,debian,"4.15.0-58-generic",Ubuntu,Ubuntu,ubuntu,linux,"16.04.6 LTS (Xenial Xerus)",log,"/var/log/auth.log","37,963",system
"Oct 26, 2022 @ 02:59:05.137","-HCDEIQBIBAo7axPOZ0c",".ds-filebeat-8.4.3-2022.10.25-000001","-","6343ae4e-0ee5-43d9-9891-576b2b8f9653","Web_Server","50e17b80-cb5c-4305-8a01-dd532eb63d4f","Web_Server",filebeat,"8.4.3","8.0.0","Provided Grok expressions do not match field value: [Oct 25 18:59:01 Web_Server CRON[22024]: pam_env(cron:session): Unable to open env file: /etc/default/locale: No such file or directory]","system.auth","Oct 26, 2022 @ 02:59:06.140",system,"Oct 25 18:59:01 Web_Server CRON[22024]: pam_env(cron:session): Unable to open env file: /etc/default/locale: No such file or directory","+00:00",auth,"x86_64",true,"Web_Server","172.24.2.100","02:42:ac:18:02:64","Web_Server",xenial,debian,"4.15.0-58-generic",Ubuntu,Ubuntu,ubuntu,linux,"16.04.6 LTS (Xenial Xerus)",log,"/var/log/auth.log","38,441",system
"Oct 26, 2022 @ 03:00:10.150","-3CEEIQBIBAo7axPN50R",".ds-filebeat-8.4.3-2022.10.25-000001","-","6343ae4e-0ee5-43d9-9891-576b2b8f9653","Web_Server","50e17b80-cb5c-4305-8a01-dd532eb63d4f","Web_Server",filebeat,"8.4.3","8.0.0","Provided Grok expressions do not match field value: [Oct 25 19:00:01 Web_Server CRON[22378]: pam_env(cron:session): Unable to open env file: /etc/default/locale: No such file or directory]","system.auth","Oct 26, 2022 @ 03:00:11.152",system,"Oct 25 19:00:01 Web_Server CRON[22378]: pam_env(cron:session): Unable to open env file: /etc/default/locale: No such file or directory","+00:00",auth,"x86_64",true,"Web_Server","172.24.2.100","02:42:ac:18:02:64","Web_Server",xenial,debian,"4.15.0-58-generic",Ubuntu,Ubuntu,ubuntu,linux,"16.04.6 LTS (Xenial Xerus)",log,"/var/log/auth.log","38,680",system
"Oct 26, 2022 @ 02:58:10.054",9XCCEIQBIBAo7axPYZ38,".ds-filebeat-8.4.3-2022.10.25-000001","-","6343ae4e-0ee5-43d9-9891-576b2b8f9653","Web_Server","50e17b80-cb5c-4305-8a01-dd532eb63d4f","Web_Server",filebeat,"8.4.3","8.0.0","Provided Grok expressions do not match field value: [Oct 25 18:58:01 Web_Server CRON[21707]: pam_env(cron:session): Unable to open env file: /etc/default/locale: No such file or directory]","system.auth","Oct 26, 2022 @ 02:58:11.067",system,"Oct 25 18:58:01 Web_Server CRON[21707]: pam_env(cron:session): Unable to open env file: /etc/default/locale: No such file or directory","+00:00",auth,"x86_64",true,"Web_Server","172.24.2.100","02:42:ac:18:02:64","Web_Server",xenial,debian,"4.15.0-58-generic",Ubuntu,Ubuntu,ubuntu,linux,"16.04.6 LTS (Xenial Xerus)",log,"/var/log/auth.log","38,202",system
"Oct 26, 2022 @ 02:56:10.019",73CAEIQBIBAo7axPjZ00,".ds-filebeat-8.4.3-2022.10.25-000001","-","6343ae4e-0ee5-43d9-9891-576b2b8f9653","Web_Server","50e17b80-cb5c-4305-8a01-dd532eb63d4f","Web_Server",filebeat,"8.4.3","8.0.0","Provided Grok expressions do not match field value: [Oct 25 18:56:01 Web_Server CRON[20854]: pam_env(cron:session): Unable to open env file: /etc/default/locale: No such file or directory]","system.auth","Oct 26, 2022 @ 02:56:11.060",system,"Oct 25 18:56:01 Web_Server CRON[20854]: pam_env(cron:session): Unable to open env file: /etc/default/locale: No such file or directory","+00:00",auth,"x86_64",true,"Web_Server","172.24.2.100","02:42:ac:18:02:64","Web_Server",xenial,debian,"4.15.0-58-generic",Ubuntu,Ubuntu,ubuntu,linux,"16.04.6 LTS (Xenial Xerus)",log,"/var/log/auth.log","37,724",system
"Oct 26, 2022 @ 02:56:10.019",8HCAEIQBIBAo7axPoJ2Y,".ds-filebeat-8.4.3-2022.10.25-000001","-","6343ae4e-0ee5-43d9-9891-576b2b8f9653","Web_Server","50e17b80-cb5c-4305-8a01-dd532eb63d4f","Web_Server",filebeat,"8.4.3","8.0.0","Provided Grok expressions do not match field value: [Oct 25 18:56:01 Web_Server CRON[20854]: pam_unix(cron:session): session opened for user root by (uid=0)]","system.auth","Oct 26, 2022 @ 02:56:16.023",system,"Oct 25 18:56:01 Web_Server CRON[20854]: pam_unix(cron:session): session opened for user root by (uid=0)","+00:00",auth,"x86_64",true,"Web_Server","172.24.2.100","02:42:ac:18:02:64","Web_Server",xenial,debian,"4.15.0-58-generic",Ubuntu,Ubuntu,ubuntu,linux,"16.04.6 LTS (Xenial Xerus)",log,"/var/log/auth.log","37,859",system
"Oct 26, 2022 @ 02:57:05.032",83CBEIQBIBAo7axPd52D,".ds-filebeat-8.4.3-2022.10.25-000001","-","6343ae4e-0ee5-43d9-9891-576b2b8f9653","Web_Server","50e17b80-cb5c-4305-8a01-dd532eb63d4f","Web_Server",filebeat,"8.4.3","8.0.0","Provided Grok expressions do not match field value: [Oct 25 18:57:01 Web_Server CRON[21245]: pam_unix(cron:session): session opened for user root by (uid=0)]","system.auth","Oct 26, 2022 @ 02:57:11.042",system,"Oct 25 18:57:01 Web_Server CRON[21245]: pam_unix(cron:session): session opened for user root by (uid=0)","+00:00",auth,"x86_64",true,"Web_Server","172.24.2.100","02:42:ac:18:02:64","Web_Server",xenial,debian,"4.15.0-58-generic",Ubuntu,Ubuntu,ubuntu,linux,"16.04.6 LTS (Xenial Xerus)",log,"/var/log/auth.log","38,098",system
"Oct 26, 2022 @ 02:58:10.054",9nCCEIQBIBAo7axPdZ2D,".ds-filebeat-8.4.3-2022.10.25-000001","-","6343ae4e-0ee5-43d9-9891-576b2b8f9653","Web_Server","50e17b80-cb5c-4305-8a01-dd532eb63d4f","Web_Server",filebeat,"8.4.3","8.0.0","Provided Grok expressions do not match field value: [Oct 25 18:58:01 Web_Server CRON[21707]: pam_unix(cron:session): session opened for user root by (uid=0)]","system.auth","Oct 26, 2022 @ 02:58:16.065",system,"Oct 25 18:58:01 Web_Server CRON[21707]: pam_unix(cron:session): session opened for user root by (uid=0)","+00:00",auth,"x86_64",true,"Web_Server","172.24.2.100","02:42:ac:18:02:64","Web_Server",xenial,debian,"4.15.0-58-generic",Ubuntu,Ubuntu,ubuntu,linux,"16.04.6 LTS (Xenial Xerus)",log,"/var/log/auth.log","38,337",system
"Oct 26, 2022 @ 02:59:05.137","-XCDEIQBIBAo7axPTJ2n",".ds-filebeat-8.4.3-2022.10.25-000001","-","6343ae4e-0ee5-43d9-9891-576b2b8f9653","Web_Server","50e17b80-cb5c-4305-8a01-dd532eb63d4f","Web_Server",filebeat,"8.4.3","8.0.0","Provided Grok expressions do not match field value: [Oct 25 18:59:01 Web_Server CRON[22024]: pam_unix(cron:session): session opened for user root by (uid=0)]","system.auth","Oct 26, 2022 @ 02:59:11.143",system,"Oct 25 18:59:01 Web_Server CRON[22024]: pam_unix(cron:session): session opened for user root by (uid=0)","+00:00",auth,"x86_64",true,"Web_Server","172.24.2.100","02:42:ac:18:02:64","Web_Server",xenial,debian,"4.15.0-58-generic",Ubuntu,Ubuntu,ubuntu,linux,"16.04.6 LTS (Xenial Xerus)",log,"/var/log/auth.log","38,576",system
