"@timestamp","_id","_index","_score","agent.ephemeral_id","agent.hostname","agent.id","agent.name","agent.type","agent.version","ecs.version","fields.apache","host.architecture","host.containerized","host.hostname","host.ip","host.mac","host.name","host.os.codename","host.os.family","host.os.kernel","host.os.name","host.os.name.text","host.os.platform","host.os.type","host.os.version","input.type","log.file.path","log.offset",message
"Oct 26, 2022 @ 02:10:18.953",VnBWEIQBIBAo7axPj4U4,".ds-filebeat-8.4.3-2022.10.25-000001","-","6343ae4e-0ee5-43d9-9891-576b2b8f9653","Web_Server","50e17b80-cb5c-4305-8a01-dd532eb63d4f","Web_Server",filebeat,"8.4.3","8.0.0",true,"x86_64",true,"Web_Server","172.24.2.100","02:42:ac:18:02:64","Web_Server",xenial,debian,"4.15.0-58-generic",Ubuntu,Ubuntu,ubuntu,linux,"16.04.6 LTS (Xenial Xerus)",filestream,"/var/log/apache2/access.log","1,445,840","172.24.2.11 - - [25/Oct/2022:18:10:10 +0000] ""GET / HTTP/1.0"" 302 8936 ""-"" ""-"""
"Oct 26, 2022 @ 02:10:18.953",V3BWEIQBIBAo7axPj4U4,".ds-filebeat-8.4.3-2022.10.25-000001","-","6343ae4e-0ee5-43d9-9891-576b2b8f9653","Web_Server","50e17b80-cb5c-4305-8a01-dd532eb63d4f","Web_Server",filebeat,"8.4.3","8.0.0",true,"x86_64",true,"Web_Server","172.24.2.100","02:42:ac:18:02:64","Web_Server",xenial,debian,"4.15.0-58-generic",Ubuntu,Ubuntu,ubuntu,linux,"16.04.6 LTS (Xenial Xerus)",filestream,"/var/log/apache2/access.log","1,445,919","172.24.2.11 - - [25/Oct/2022:18:10:10 +0000] ""GET / HTTP/1.1"" 302 8958 ""-"" ""-"""
"Oct 26, 2022 @ 02:10:04.949",iXBWEIQBIBAo7axPWIK8,".ds-filebeat-8.4.3-2022.10.25-000001","-","6343ae4e-0ee5-43d9-9891-576b2b8f9653","Web_Server","50e17b80-cb5c-4305-8a01-dd532eb63d4f","Web_Server",filebeat,"8.4.3","8.0.0",true,"x86_64",true,"Web_Server","172.24.2.100","02:42:ac:18:02:64","Web_Server",xenial,debian,"4.15.0-58-generic",Ubuntu,Ubuntu,ubuntu,linux,"16.04.6 LTS (Xenial Xerus)",filestream,"/var/log/apache2/access.log","1,445,518","172.24.2.11 - - [25/Oct/2022:18:10:02 +0000] ""OPTIONS / HTTP/1.1"" 302 8977 ""-"" ""Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)"""
"Oct 26, 2022 @ 02:10:04.949",inBWEIQBIBAo7axPWIK8,".ds-filebeat-8.4.3-2022.10.25-000001","-","6343ae4e-0ee5-43d9-9891-576b2b8f9653","Web_Server","50e17b80-cb5c-4305-8a01-dd532eb63d4f","Web_Server",filebeat,"8.4.3","8.0.0",true,"x86_64",true,"Web_Server","172.24.2.100","02:42:ac:18:02:64","Web_Server",xenial,debian,"4.15.0-58-generic",Ubuntu,Ubuntu,ubuntu,linux,"16.04.6 LTS (Xenial Xerus)",filestream,"/var/log/apache2/access.log","1,445,679","172.24.2.11 - - [25/Oct/2022:18:10:03 +0000] ""OPTIONS / HTTP/1.1"" 302 8977 ""-"" ""Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)"""
"Oct 26, 2022 @ 02:10:02.948",g3BWEIQBIBAo7axPVYGh,".ds-filebeat-8.4.3-2022.10.25-000001","-","6343ae4e-0ee5-43d9-9891-576b2b8f9653","Web_Server","50e17b80-cb5c-4305-8a01-dd532eb63d4f","Web_Server",filebeat,"8.4.3","8.0.0",true,"x86_64",true,"Web_Server","172.24.2.100","02:42:ac:18:02:64","Web_Server",xenial,debian,"4.15.0-58-generic",Ubuntu,Ubuntu,ubuntu,linux,"16.04.6 LTS (Xenial Xerus)",filestream,"/var/log/apache2/access.log","1,445,196","172.24.2.11 - - [25/Oct/2022:18:10:02 +0000] ""OPTIONS / HTTP/1.1"" 302 8977 ""-"" ""Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)"""
"Oct 26, 2022 @ 02:10:02.948",hHBWEIQBIBAo7axPVYGh,".ds-filebeat-8.4.3-2022.10.25-000001","-","6343ae4e-0ee5-43d9-9891-576b2b8f9653","Web_Server","50e17b80-cb5c-4305-8a01-dd532eb63d4f","Web_Server",filebeat,"8.4.3","8.0.0",true,"x86_64",true,"Web_Server","172.24.2.100","02:42:ac:18:02:64","Web_Server",xenial,debian,"4.15.0-58-generic",Ubuntu,Ubuntu,ubuntu,linux,"16.04.6 LTS (Xenial Xerus)",filestream,"/var/log/apache2/access.log","1,445,357","172.24.2.11 - - [25/Oct/2022:18:10:02 +0000] ""OPTIONS / HTTP/1.1"" 302 8977 ""-"" ""Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)"""
"Oct 26, 2022 @ 02:10:02.905",cnBWEIQBIBAo7axPVYGh,".ds-filebeat-8.4.3-2022.10.25-000001","-","6343ae4e-0ee5-43d9-9891-576b2b8f9653","Web_Server","50e17b80-cb5c-4305-8a01-dd532eb63d4f","Web_Server",filebeat,"8.4.3","8.0.0",true,"x86_64",true,"Web_Server","172.24.2.100","02:42:ac:18:02:64","Web_Server",xenial,debian,"4.15.0-58-generic",Ubuntu,Ubuntu,ubuntu,linux,"16.04.6 LTS (Xenial Xerus)",filestream,"/var/log/apache2/access.log","1,442,548","172.24.2.11 - - [25/Oct/2022:18:09:58 +0000] ""GET / HTTP/1.0"" 302 8936 ""-"" ""-"""
"Oct 26, 2022 @ 02:10:02.905",c3BWEIQBIBAo7axPVYGh,".ds-filebeat-8.4.3-2022.10.25-000001","-","6343ae4e-0ee5-43d9-9891-576b2b8f9653","Web_Server","50e17b80-cb5c-4305-8a01-dd532eb63d4f","Web_Server",filebeat,"8.4.3","8.0.0",true,"x86_64",true,"Web_Server","172.24.2.100","02:42:ac:18:02:64","Web_Server",xenial,debian,"4.15.0-58-generic",Ubuntu,Ubuntu,ubuntu,linux,"16.04.6 LTS (Xenial Xerus)",filestream,"/var/log/apache2/access.log","1,442,627","172.24.2.11 - - [25/Oct/2022:18:09:59 +0000] ""POST /sdk HTTP/1.1"" 404 466 ""-"" ""Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)"""
"Oct 26, 2022 @ 02:10:02.905",dHBWEIQBIBAo7axPVYGh,".ds-filebeat-8.4.3-2022.10.25-000001","-","6343ae4e-0ee5-43d9-9891-576b2b8f9653","Web_Server","50e17b80-cb5c-4305-8a01-dd532eb63d4f","Web_Server",filebeat,"8.4.3","8.0.0",true,"x86_64",true,"Web_Server","172.24.2.100","02:42:ac:18:02:64","Web_Server",xenial,debian,"4.15.0-58-generic",Ubuntu,Ubuntu,ubuntu,linux,"16.04.6 LTS (Xenial Xerus)",filestream,"/var/log/apache2/access.log","1,442,787","172.24.2.11 - - [25/Oct/2022:18:09:58 +0000] ""OPTIONS / HTTP/1.1"" 302 8977 ""-"" ""Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)"""
"Oct 26, 2022 @ 02:10:02.905",dXBWEIQBIBAo7axPVYGh,".ds-filebeat-8.4.3-2022.10.25-000001","-","6343ae4e-0ee5-43d9-9891-576b2b8f9653","Web_Server","50e17b80-cb5c-4305-8a01-dd532eb63d4f","Web_Server",filebeat,"8.4.3","8.0.0",true,"x86_64",true,"Web_Server","172.24.2.100","02:42:ac:18:02:64","Web_Server",xenial,debian,"4.15.0-58-generic",Ubuntu,Ubuntu,ubuntu,linux,"16.04.6 LTS (Xenial Xerus)",filestream,"/var/log/apache2/access.log","1,442,948","172.24.2.11 - - [25/Oct/2022:18:09:59 +0000] ""GET /favicon.ico HTTP/1.1"" 404 466 ""-"" ""Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)"""
